date,open,high,low,close,volume
2026-06-26,52439.0,52542.0,52008.0,52209.0,105309
2026-06-29,52183.0,52700.0,52179.0,52572.0,89618
2026-06-30,52554.0,52763.0,52383.0,52670.0,74881
2026-07-01,52546.0,53105.0,52381.0,52668.0,90299
2026-07-02,52640.0,53218.0,52551.0,53183.0,100341
2026-07-06,53230.0,53421.0,52962.0,53372.0,90648
2026-07-07,53405.0,53656.0,53076.0,53197.0,89107
2026-07-08,53166.0,53207.0,52343.0,52624.0,95217
2026-07-09,52541.0,52865.0,52501.0,52761.0,66140
2026-07-10,52753.0,52992.0,52506.0,52906.0,68290
2026-07-13,52844.0,53113.0,52603.0,52764.0,73067
2026-07-14,52731.0,52981.0,52255.0,52791.0,99661
2026-07-15,52792.0,53088.0,52680.0,52900.0,76509
2026-07-16,52919.0,53108.0,52607.0,52786.0,85356
2026-07-17,52778.0,52835.0,52174.0,52375.0,115266
2026-07-20,52300.0,52633.0,51999.0,52073.0,75800
2026-07-21,52091.0,52590.0,52035.0,52443.0,66633
2026-07-22,52431.0,52721.0,52262.0,52449.0,87376
2026-07-23,52430.0,52515.0,51720.0,51894.0,105718
2026-07-24,51920.0,52314.0,51846.0,52124.0,89973
2026-07-27,52299.0,52790.0,52173.0,52382.0,91904
2026-07-28,52405.0,53105.0,52290.0,52944.0,103226
2026-07-29,52915.0,53033.0,51630.0,51765.0,146075
2026-07-30,51759.0,52484.0,51732.0,52380.0,97296
2026-07-31,52395.0,52772.0,52124.0,52635.0,89322
2026-08-03,52780.0,53414.0,52777.0,53334.0,89749
2026-08-04,53381.0,54423.0,53267.0,54268.0,116033
2026-08-05,54369.0,54884.0,54342.0,54494.0,77042
2026-08-06,54555.0,54678.0,53952.0,54013.0,71858
2026-08-07,54040.0,54202.0,53879.0,54152.0,55337
2026-08-10,54133.0,54170.0,53952.0,54063.0,49515
2026-08-11,54049.0,54336.0,53855.0,53880.0,48977
2026-08-12,53903.0,54150.0,53830.0,53871.0,46653
2026-08-13,53905.0,54149.0,53715.0,53935.0,51904
2026-08-14,53961.0,53999.0,53745.0,53807.0,45129
2026-08-17,53790.0,53840.0,53464.0,53544.0,51164
2026-08-18,53501.0,53594.0,53311.0,53403.0,60850
2026-08-19,53408.0,53780.0,53337.0,53530.0,65333
2026-08-20,53529.0,53589.0,52812.0,52849.0,72393
2026-08-21,52876.0,53418.0,52838.0,53353.0,65073
2026-08-24,53367.0,53567.0,53210.0,53489.0,58981
2026-08-25,53524.0,53797.0,53426.0,53645.0,53250
2026-08-26,53643.0,53778.0,53435.0,53521.0,44780
2026-08-27,53724.0,53811.0,53369.0,53621.0,57118
2026-08-28,53608.0,53862.0,53513.0,53584.0,57398
2026-08-31,53664.0,53664.0,53149.0,53240.0,55764
2026-09-01,53259.0,53343.0,52747.0,52828.0,75300
2026-09-02,52844.0,53283.0,52720.0,53121.0,61421
2026-09-03,53120.0,53827.0,53093.0,53745.0,71095
2026-09-04,53707.0,53772.0,53235.0,53440.0,62511
2026-09-08,53261.0,53336.0,52758.0,52832.0,79260
2026-09-09,52817.0,52859.0,52339.0,52425.0,69746
2026-09-10,52473.0,52676.0,51992.0,52095.0,70534
2026-09-11,52059.0,52739.0,52059.0,52585.0,74249
2026-09-14,52376.0,52672.0,52226.0,52440.0,81446
2026-09-15,52499.0,52499.0,51908.0,52115.0,40374
2026-09-16,52162.0,52298.0,51209.0,51507.0,27120
2026-09-17,51486.0,52169.0,51455.0,51807.0,15533
2026-09-18,51800.0,51957.0,51576.0,51761.0,70167
2026-09-21,52085.0,52557.0,52080.0,52475.0,68624
2026-09-22,52470.0,52844.0,52125.0,52279.0,68624
2026-09-23,51878.0,51900.0,51878.0,51889.0,101
