date,near_ticker,far_ticker,near_label,far_label,open,high,low,close,near_close,far_close
2026-09-04,CLX26.NYM,CLZ26.NYM,2026-11,2026-12,2.8800048828125,3.8600006103515625,2.649993896484375,3.1100006103515625,88.56999969482422,85.45999908447266
2026-09-11,CLX26.NYM,CLZ26.NYM,2026-11,2026-12,3.2900009155273438,4.8899993896484375,2.9000015258789062,4.510002136230469,95.94000244140625,91.43000030517578
2026-09-18,CLX26.NYM,CLZ26.NYM,2026-11,2026-12,4.989997863769531,5.3600006103515625,3.7900009155273438,4.029998779296875,96.08000183105469,92.05000305175781
2026-09-22,CLX26.NYM,CLZ26.NYM,2026-11,2026-12,4.129997253417969,4.25,2.3199996948242188,2.339996337890625,89.70999908447266,87.37000274658203
