date,open,high,low,close,volume
2026-06-25,70114.09375,72594.21875,69982.671875,72366.34375,151000000
2026-06-26,71587.7109375,71786.28125,68639.84375,69360.8828125,156900000
2026-06-29,69609.8828125,69609.8828125,67997.5703125,69468.109375,182400000
2026-06-30,70085.6015625,70667.0,69302.1875,70062.3203125,160500000
2026-07-01,70774.28125,71962.34375,70126.140625,70474.9609375,163400000
2026-07-02,70039.890625,70081.390625,68676.2578125,68733.1484375,169900000
2026-07-03,68676.0625,69788.03125,67609.4921875,69744.0703125,159300000
2026-07-06,69973.34375,70384.59375,68904.40625,69737.6875,135400000
2026-07-07,69460.078125,69957.5078125,68003.921875,68256.9609375,175000000
2026-07-08,67704.15625,68432.6796875,66819.046875,66819.046875,168900000
2026-07-09,67046.3671875,68447.890625,67008.890625,67743.8515625,136400000
2026-07-10,68526.71875,69374.859375,68271.90625,68557.7265625,154400000
2026-07-13,68410.6328125,69078.2109375,66653.109375,67242.7265625,137100000
2026-07-14,67002.9375,67800.1796875,66268.6015625,67743.5,168500000
2026-07-15,67989.7421875,68798.2421875,67833.171875,68751.5078125,147400000
2026-07-16,67900.4296875,68069.8203125,66499.4921875,66835.5390625,148900000
2026-07-17,66339.8515625,66441.7734375,62704.6015625,64141.12109375,194200000
2026-07-21,64544.05078125,66232.1875,64203.46875,66232.1875,164400000
2026-07-22,66449.2734375,67592.203125,65955.6015625,66115.6015625,155300000
2026-07-23,66421.0078125,67022.3671875,66208.65625,66422.6015625,135300000
2026-07-24,65584.25,65720.8125,64201.03125,64611.1484375,135400000
2026-07-27,65164.98046875,65220.69140625,64123.3984375,64931.19140625,160800000
2026-07-28,64539.921875,64573.1796875,61923.6015625,62364.921875,187000000
2026-07-29,62734.6796875,63138.0390625,60448.8984375,61434.19140625,264100000
2026-07-30,61258.33984375,62924.83984375,61049.69921875,61867.4296875,213700000
2026-07-31,61957.1015625,65364.73046875,61948.23046875,64362.01953125,228400000
2026-08-03,63834.94921875,63905.12109375,62703.46875,63754.8984375,202700000
2026-08-04,63995.28125,64240.5,62864.4296875,63957.53125,191800000
2026-08-05,64565.26953125,66302.5234375,64555.51953125,66300.4375,202400000
2026-08-06,65896.0,65983.1328125,64942.0703125,65683.2578125,191500000
2026-08-07,65746.1328125,65990.71875,64651.48828125,65606.7109375,205400000
2026-08-10,65905.1015625,67006.84375,65848.578125,66970.21875,164400000
2026-08-12,66994.046875,67569.359375,66735.7578125,67524.0625,170600000
2026-08-13,68033.171875,68799.7109375,68006.171875,68308.59375,169100000
2026-08-14,68811.171875,69608.2421875,68471.1484375,68713.796875,170600000
2026-08-17,68882.0625,69225.5703125,68492.0390625,69220.25,142200000
2026-08-18,68847.3515625,69093.203125,67368.9609375,67460.7265625,151200000
2026-08-19,66812.2734375,66833.5078125,65133.98046875,65326.421875,176600000
2026-08-20,65732.7890625,66325.3203125,65652.25,66216.7890625,158400000
2026-08-21,65427.69140625,66125.8828125,65260.21875,66016.359375,160000000
2026-08-24,65978.953125,66257.7265625,65470.94921875,65528.08984375,128200000
2026-08-25,65195.26171875,65904.2421875,64609.46875,65856.4296875,131200000
2026-08-26,65604.4921875,66442.34375,65390.55078125,66262.15625,129500000
2026-08-27,66775.78125,66954.6875,65782.59375,66131.9765625,133500000
2026-08-28,66104.4921875,66842.8203125,66012.203125,66405.5625,147000000
2026-08-31,65668.5078125,66311.9296875,64832.1015625,66311.9296875,185700000
2026-09-01,65885.46875,66525.703125,65576.609375,66215.34375,158600000
2026-09-02,65195.4296875,65195.4296875,64215.46875,64325.640625,172500000
2026-09-03,64724.80859375,64724.80859375,63772.80078125,64214.48046875,154100000
2026-09-04,64498.94140625,65182.44921875,64228.46875,65020.94140625,155800000
2026-09-07,65600.421875,66668.7109375,65600.421875,66399.84375,141300000
2026-09-08,65843.6875,66791.84375,65269.328125,65269.328125,148400000
2026-09-09,65087.21875,65794.03125,65017.6796875,65142.78125,164300000
2026-09-10,64768.53125,65270.94921875,64186.6796875,65270.94921875,153400000
2026-09-11,64276.8203125,64312.01953125,63208.62890625,64011.33984375,168000000
2026-09-14,63659.53125,63691.53125,62726.1796875,63492.98828125,135800000
2026-09-15,63190.37109375,64101.0,63067.1796875,63484.1015625,135000000
2026-09-16,63672.12890625,63923.0,63209.921875,63923.0,124200000
2026-09-17,64643.578125,64643.578125,63824.55859375,64136.25,133400000
2026-09-18,64681.55078125,65436.5703125,64403.8515625,65018.94921875,197700000
