date,near_ticker,far_ticker,near_label,far_label,near_open,near_high,near_low,near_close,far_open,far_high,far_low,far_close,spread_open,spread_high,spread_low,spread_close
2026-08-20,CLV26.NYM,CLX26.NYM,2026-10,2026-11,84.4000015258789,87.69000244140625,84.2300033569336,86.83000183105469,82.93000030517578,85.45999908447266,82.5,84.86000061035156,1.470001220703125,5.19000244140625,-1.2299957275390625,1.970001220703125
2026-08-21,CLV26.NYM,CLX26.NYM,2026-10,2026-11,86.2699966430664,87.51000213623047,85.80000305175781,87.05999755859375,84.3499984741211,85.45999908447266,84.02999877929688,85.16000366210938,1.9199981689453125,3.4800033569335938,0.34000396728515625,1.899993896484375
2026-08-24,CLV26.NYM,CLX26.NYM,2026-10,2026-11,86.5,86.56999969482422,84.36000061035156,85.01000213623047,84.69999694824219,84.69999694824219,82.66999816894531,83.30000305175781,1.8000030517578125,3.9000015258789062,-0.339996337890625,1.7099990844726562
2026-08-25,CLV26.NYM,CLX26.NYM,2026-10,2026-11,85.02999877929688,85.83999633789062,80.2300033569336,82.36000061035156,83.2699966430664,84.06999969482422,78.97000122070312,80.87999725341797,1.7600021362304688,6.8699951171875,-3.839996337890625,1.4800033569335938
2026-08-26,CLV26.NYM,CLX26.NYM,2026-10,2026-11,81.11000061035156,83.30999755859375,79.62000274658203,82.2300033569336,79.70999908447266,81.91000366210938,78.55000305175781,80.8499984741211,1.4000015258789062,4.7599945068359375,-2.2900009155273438,1.3800048828125
2026-08-27,CLV26.NYM,CLX26.NYM,2026-10,2026-11,82.0,84.2699966430664,80.6500015258789,83.52999877929688,80.62999725341797,82.68000030517578,79.33999633789062,81.97000122070312,1.3700027465820312,4.930000305175781,-2.029998779296875,1.55999755859375
2026-08-28,CLV26.NYM,CLX26.NYM,2026-10,2026-11,83.66999816894531,83.77999877929688,82.25,83.4000015258789,82.01000213623047,82.16999816894531,80.80000305175781,81.83000183105469,1.6599960327148438,2.9799957275390625,0.0800018310546875,1.5699996948242188
2026-08-31,CLV26.NYM,CLX26.NYM,2026-10,2026-11,84.69000244140625,86.79000091552734,84.11000061035156,85.76000213623047,82.88999938964844,84.83999633789062,82.47000122070312,84.05999755859375,1.8000030517578125,4.319999694824219,-0.7299957275390625,1.7000045776367188
2026-09-01,CLV26.NYM,CLX26.NYM,2026-10,2026-11,86.30999755859375,90.97000122070312,86.12999725341797,90.22000122070312,84.45999908447266,88.33999633789062,84.23999786376953,87.75,1.8499984741210938,6.730003356933594,-2.2099990844726562,2.470001220703125
2026-09-02,CLV26.NYM,CLX26.NYM,2026-10,2026-11,90.6500015258789,92.29000091552734,88.97000122070312,91.01000213623047,87.9800033569336,89.51000213623047,86.62999725341797,88.27999877929688,2.6699981689453125,5.660003662109375,-0.5400009155273438,2.7300033569335938
2026-09-03,CLV26.NYM,CLX26.NYM,2026-10,2026-11,90.69999694824219,93.13999938964844,89.56999969482422,91.30000305175781,87.88999938964844,89.45999908447266,86.80000305175781,88.02999877929688,2.80999755859375,6.339996337890625,0.1100006103515625,3.2700042724609375
2026-09-04,CLV26.NYM,CLX26.NYM,2026-10,2026-11,91.66999816894531,92.16999816894531,88.72000122070312,91.4800033569336,88.3499984741211,88.83999633789062,85.91999816894531,88.56999969482422,3.3199996948242188,6.25,-0.1199951171875,2.910003662109375
2026-09-08,CLV26.NYM,CLX26.NYM,2026-10,2026-11,92.26000213623047,94.7300033569336,90.87000274658203,93.02999877929688,89.13999938964844,91.44000244140625,88.18000030517578,90.19000244140625,3.1200027465820312,6.5500030517578125,-0.5699996948242188,2.839996337890625
2026-09-09,CLV26.NYM,CLX26.NYM,2026-10,2026-11,94.30999755859375,96.93000030517578,93.76000213623047,96.05000305175781,91.30000305175781,93.58999633789062,90.80999755859375,92.87000274658203,3.0099945068359375,6.120002746582031,0.17000579833984375,3.1800003051757812
2026-09-10,CLV26.NYM,CLX26.NYM,2026-10,2026-11,96.87999725341797,104.04000091552734,95.37000274658203,102.4800033569336,93.54000091552734,99.6500015258789,92.05999755859375,98.4000015258789,3.339996337890625,11.980003356933594,-4.279998779296875,4.0800018310546875
2026-09-11,CLV26.NYM,CLX26.NYM,2026-10,2026-11,104.31999969482422,104.45999908447266,98.4800033569336,100.05000305175781,99.88999938964844,100.02999877929688,94.79000091552734,95.94000244140625,4.430000305175781,9.669998168945312,-1.5499954223632812,4.1100006103515625
2026-09-14,CLV26.NYM,CLX26.NYM,2026-10,2026-11,102.25,104.94999694824219,100.52999877929688,101.38999938964844,98.0,100.02999877929688,96.29000091552734,97.13999938964844,4.25,8.659996032714844,0.5,4.25
2026-09-15,CLV26.NYM,CLX26.NYM,2026-10,2026-11,102.01000213623047,106.75,101.20999908447266,105.83000183105469,97.4000015258789,101.69000244140625,97.16000366210938,100.75,4.6100006103515625,9.589996337890625,-0.48000335693359375,5.0800018310546875
2026-09-16,CLV26.NYM,CLX26.NYM,2026-10,2026-11,105.4800033569336,105.62999725341797,100.97000122070312,102.43000030517578,100.45999908447266,100.61000061035156,96.05999755859375,97.51000213623047,5.0200042724609375,9.569999694824219,0.3600006103515625,4.9199981689453125
2026-09-17,CLV26.NYM,CLX26.NYM,2026-10,2026-11,102.18000030517578,102.47000122070312,99.0999984741211,101.91000366210938,97.52999877929688,97.7300033569336,94.63999938964844,97.2300033569336,4.650001525878906,7.8300018310546875,1.3699951171875,4.680000305175781
2026-09-18,CLV26.NYM,CLX26.NYM,2026-10,2026-11,101.05999755859375,103.4800033569336,99.19000244140625,100.30000305175781,96.4800033569336,98.01000213623047,94.83000183105469,96.08000183105469,4.579994201660156,8.650001525878906,1.1800003051757812,4.220001220703125
2026-09-21,CLV26.NYM,CLX26.NYM,2026-10,2026-11,101.0,101.08000183105469,94.22000122070312,95.77999877929688,96.75,97.22000122070312,91.19000244140625,92.37000274658203,4.25,9.889999389648438,-3.0,3.4099960327148438
2026-09-22,CLX26.NYM,CLZ26.NYM,2026-11,2026-12,91.94999694824219,93.83999633789062,89.16000366210938,90.66000366210938,88.83000183105469,90.55000305175781,86.63999938964844,87.7300033569336,3.1199951171875,7.1999969482421875,-1.3899993896484375,2.9300003051757812
