datetime,open,high,low,close,volume
2025-08-04,119.5,122.0,119.0,121.5,13986531
2025-08-05,125.0,133.5,122.5,133.5,59968014
2025-08-06,136.0,141.0,132.5,133.0,127567616
2025-08-07,135.0,142.5,133.0,137.5,69444421
2025-08-08,138.5,141.5,136.5,137.0,37866517
2025-08-11,137.5,141.5,134.5,140.5,39656394
2025-08-12,142.0,142.5,137.0,137.5,26749264
2025-08-13,140.0,141.0,135.5,137.0,35173947
2025-08-14,137.5,138.0,130.5,132.5,31853949
2025-08-15,132.5,136.0,130.5,134.0,23677280
2025-08-18,134.5,137.5,132.5,134.0,21385306
2025-08-19,132.5,133.0,127.0,127.5,32186276
2025-08-20,126.0,126.5,122.0,123.0,17957205
2025-08-21,124.5,127.5,123.5,125.0,17533331
2025-08-22,125.0,127.0,124.0,124.0,13775538
2025-08-25,127.0,127.5,124.5,125.0,10205725
2025-08-26,125.0,127.0,123.0,125.0,8779425
2025-08-27,125.0,133.0,124.0,131.0,28566742
2025-08-28,131.0,132.5,129.0,130.0,10570471
2025-08-29,131.0,135.0,130.0,130.0,22992122
2025-09-01,129.5,130.5,124.0,126.0,13720231
2025-09-02,127.0,128.5,122.5,125.0,12057775
2025-09-03,125.5,127.0,124.5,125.0,4762873
2025-09-04,126.0,128.0,125.0,125.5,12005702
2025-09-05,128.0,131.5,127.0,130.5,21354895
2025-09-08,133.5,135.0,130.5,134.0,21722134
2025-09-09,135.5,144.5,134.0,140.5,58577980
2025-09-10,150.0,154.5,149.5,154.5,20427264
2025-09-11,161.0,169.5,156.5,165.5,156826000
2025-09-12,169.0,173.0,160.5,163.0,87130032
2025-09-15,168.0,168.0,158.5,161.0,48699777
2025-09-16,161.0,167.0,160.0,167.0,41174969
2025-09-17,165.5,166.5,159.0,159.5,35254307
2025-09-18,159.5,168.0,159.5,164.5,42535309
2025-09-19,165.0,170.5,163.5,169.0,49743388
2025-09-22,168.5,185.5,167.0,185.5,66101140
2025-09-23,185.0,189.5,179.0,183.0,67494565
2025-09-24,184.0,186.5,174.0,175.0,47516715
2025-09-25,175.0,175.5,170.5,172.0,27065585
2025-09-26,168.5,170.5,161.0,163.5,32040129
2025-09-30,168.5,176.0,168.0,172.5,41007223
2025-10-01,173.0,174.0,169.0,169.5,24345639
2025-10-02,172.0,174.5,170.5,170.5,25507106
2025-10-03,171.0,174.0,168.0,172.0,22540245
2025-10-07,174.0,178.0,170.0,173.0,39586032
2025-10-08,170.5,174.0,168.0,172.0,21047359
2025-10-09,174.5,176.0,169.0,171.0,24899149
2025-10-13,162.0,170.0,161.0,168.0,24299007
2025-10-14,170.5,171.5,160.0,160.0,28670138
2025-10-15,160.5,163.5,158.5,161.5,34685465
2025-10-16,170.0,172.5,165.5,169.0,53003648
2025-10-17,167.0,169.0,164.0,165.5,24806896
2025-10-20,166.0,167.5,161.0,164.5,24721163
2025-10-21,166.0,169.5,164.0,165.5,23528530
2025-10-22,164.5,169.0,164.0,167.5,15062055
2025-10-23,165.0,173.5,164.5,170.5,25875388
2025-10-27,177.5,185.0,176.5,182.0,62430729
2025-10-28,181.0,194.0,180.0,188.5,67785645
2025-10-29,189.0,197.0,188.0,195.0,56735951
2025-10-30,185.0,186.0,175.5,181.0,104384281
2025-10-31,179.0,181.5,173.5,179.5,44791887
2025-11-03,180.0,181.5,177.0,180.0,28701592
2025-11-04,180.5,181.5,170.0,170.0,33403097
2025-11-05,165.0,169.5,164.0,169.0,20054931
2025-11-06,171.0,172.0,168.0,169.0,16225593
2025-11-07,168.0,169.0,165.5,166.5,11882176
2025-11-10,168.5,170.5,167.5,169.0,12340577
2025-11-11,171.0,175.0,167.5,167.5,16082731
2025-11-12,168.0,169.0,166.5,166.5,10358275
2025-11-13,167.0,168.0,164.0,164.5,17911389
2025-11-14,160.5,164.0,159.5,162.5,20541423
2025-11-17,163.0,165.0,161.5,162.5,17741154
2025-11-18,160.0,160.0,152.5,154.5,48838928
2025-11-19,154.5,156.5,150.0,153.5,32719001
2025-11-20,158.0,160.5,156.5,160.0,29651990
2025-11-21,154.5,155.5,150.5,153.5,25277047
2025-11-24,157.0,157.5,152.5,155.0,34219152
2025-11-25,158.0,158.5,154.0,154.5,22791616
2025-11-26,157.0,161.5,156.0,158.5,19735455
2025-11-27,159.5,160.0,158.0,158.0,9069460
2025-11-28,160.5,160.5,156.5,159.0,8944036
2025-12-01,158.5,162.0,156.0,159.0,11191394
2025-12-02,160.0,162.0,159.5,160.0,9629288
2025-12-03,160.5,161.5,159.0,160.0,8197945
2025-12-04,161.0,163.5,160.0,162.0,10196945
2025-12-05,162.5,164.5,159.0,160.0,9741264
2025-12-08,160.0,161.0,158.0,160.5,8682595
2025-12-09,160.0,161.5,159.0,159.0,6230630
2025-12-10,160.5,161.0,158.0,159.5,7969675
2025-12-11,159.0,161.0,153.5,153.5,14835634
2025-12-12,154.5,155.5,152.5,153.5,9040376
2025-12-15,148.5,153.0,148.0,151.5,7385593
2025-12-16,151.0,152.5,150.5,151.5,11099203
2025-12-17,152.5,156.0,152.0,154.5,9767512
2025-12-18,153.5,156.0,153.0,155.0,8773037
2025-12-19,157.0,161.0,156.0,159.5,17663901
2025-12-22,162.0,171.0,161.0,169.0,36205874
2025-12-23,169.0,169.0,163.0,163.0,14631866
