datetime,open,high,low,close,volume
2025-08-04,57900.0,60300.0,57900.0,59900.0,110332
2025-08-05,60300.0,61500.0,60300.0,61200.0,147778
2025-08-06,60700.0,61600.0,60300.0,61400.0,112074
2025-08-07,61500.0,61900.0,60600.0,61900.0,193352
2025-08-08,62100.0,62100.0,60800.0,61200.0,137333
2025-08-11,61900.0,62100.0,61100.0,61500.0,102446
2025-08-12,61600.0,64000.0,61400.0,61500.0,400252
2025-08-13,62400.0,62400.0,61200.0,62400.0,120694
2025-08-14,62700.0,63400.0,62100.0,63400.0,208610
2025-08-18,63500.0,63500.0,61500.0,61800.0,111015
2025-08-19,61500.0,61600.0,59800.0,60300.0,119246
2025-08-20,58600.0,59400.0,58000.0,59000.0,120769
2025-08-21,59200.0,59900.0,58600.0,59000.0,83511
2025-08-22,58900.0,60900.0,58900.0,60500.0,116249
2025-08-25,61800.0,65500.0,61200.0,63400.0,805920
2025-08-26,62800.0,64600.0,62500.0,64600.0,939773
2025-08-27,65000.0,65000.0,63000.0,64000.0,271419
2025-08-28,65900.0,66000.0,63000.0,63700.0,293733
2025-08-29,63100.0,63200.0,62100.0,62500.0,112533
2025-09-01,63300.0,63900.0,61200.0,61400.0,136352
2025-09-02,62000.0,62800.0,60300.0,62000.0,263931
2025-09-03,62300.0,62300.0,60800.0,61100.0,124209
2025-09-04,61200.0,63800.0,61100.0,61500.0,279607
2025-09-05,61400.0,61500.0,60800.0,61500.0,108878
2025-09-08,62100.0,62500.0,61300.0,61700.0,111473
2025-09-09,62000.0,62100.0,60800.0,61400.0,124237
2025-09-10,62100.0,63800.0,62000.0,62400.0,331405
2025-09-11,62700.0,62800.0,61800.0,62800.0,217664
2025-09-12,63300.0,64500.0,62750.0,63300.0,329830
2025-09-15,65300.0,66500.0,64000.0,64600.0,525549
2025-09-16,66000.0,66400.0,63800.0,64700.0,285495
2025-09-17,64100.0,64600.0,62900.0,62900.0,194273
2025-09-18,63900.0,66500.0,63800.0,64800.0,506972
2025-09-22,71100.0,75300.0,70200.0,71200.0,2704662
2025-09-23,71800.0,71900.0,69000.0,69900.0,610774
2025-09-24,68900.0,69800.0,66800.0,67400.0,421212
2025-09-25,68300.0,71300.0,67100.0,68900.0,658753
2025-09-26,69600.0,70100.0,65700.0,66600.0,422461
2025-09-29,67800.0,68100.0,66600.0,66700.0,168188
2025-09-30,67500.0,67800.0,65400.0,65900.0,179914
2025-10-01,65600.0,65800.0,64100.0,64900.0,267940
2025-10-02,65300.0,68000.0,63700.0,68000.0,263156
