datetime,open,high,low,close,volume
2025-08-04,290.5,298.0,282.0,283.5,2997318
2025-08-05,284.5,301.0,282.5,300.0,2972593
2025-08-06,296.0,299.5,292.5,297.5,1561089
2025-08-07,300.0,304.5,290.5,297.0,1550126
2025-08-08,300.0,302.5,287.0,289.0,1619296
2025-08-11,289.0,290.0,282.0,287.5,1156158
2025-08-12,288.5,290.5,284.0,284.0,637158
2025-08-13,286.5,292.0,278.0,283.0,1006027
2025-08-14,285.0,285.5,281.0,282.5,486222
2025-08-15,283.5,291.0,281.5,281.5,957459
2025-08-18,282.5,293.5,282.0,287.5,1492101
2025-08-19,290.5,296.5,282.0,288.5,1608005
2025-08-20,287.0,287.0,275.0,275.5,1475413
2025-08-21,276.5,284.5,276.5,277.5,803354
2025-08-22,278.0,283.5,275.0,275.0,803079
2025-08-25,280.0,283.5,270.0,272.0,1046276
2025-08-26,272.0,278.5,269.5,277.5,622106
2025-08-27,277.0,288.0,277.0,285.0,932100
2025-08-28,282.5,287.0,281.0,281.0,378001
2025-08-29,282.5,283.5,278.5,278.5,498002
2025-09-01,276.0,277.0,263.0,264.5,860251
2025-09-02,267.5,268.0,258.5,261.0,444100
2025-09-03,259.5,267.5,259.5,264.5,462014
2025-09-04,269.5,274.0,259.0,259.5,792057
2025-09-05,261.5,264.0,257.0,260.5,642150
2025-09-08,260.5,266.0,260.0,263.0,550100
2025-09-09,289.0,289.0,289.0,289.0,1537268
2025-09-10,297.0,317.5,295.5,317.5,7554032
2025-09-11,324.0,331.5,311.0,321.5,6761865
2025-09-12,328.0,331.5,300.0,305.5,3296346
2025-09-15,306.0,306.0,287.0,287.5,1455142
2025-09-16,290.5,293.5,281.5,285.0,960638
2025-09-17,287.0,287.0,278.0,279.0,954541
2025-09-18,281.0,283.0,277.5,282.5,742014
2025-09-19,283.0,285.0,279.0,279.0,570656
2025-09-22,281.5,284.5,277.0,278.0,479141
2025-09-23,283.0,283.5,276.5,278.0,542231
2025-09-24,277.5,279.0,260.0,265.5,2140010
2025-09-25,268.5,273.0,264.0,270.0,896204
2025-09-26,268.5,269.5,262.5,264.5,793024
2025-09-30,268.0,282.5,265.5,279.5,1415509
2025-10-01,281.0,287.0,276.5,278.0,1198010
2025-10-02,280.0,282.5,276.0,277.5,692202
2025-10-03,278.5,279.5,267.5,270.5,1273079
2025-10-07,281.0,292.5,279.5,282.0,2091282
2025-10-08,278.0,291.0,278.0,289.5,1143779
2025-10-09,290.0,316.5,287.5,307.5,4138589
2025-10-13,295.0,307.5,293.0,298.5,1928511
2025-10-14,300.5,303.0,283.5,284.0,1788732
2025-10-15,289.0,289.0,283.5,288.5,548687
2025-10-16,293.0,297.0,290.0,290.5,633335
2025-10-17,290.5,291.5,285.0,286.5,409031
2025-10-20,287.0,292.0,283.0,291.5,480003
2025-10-21,292.5,299.0,292.0,295.5,524300
2025-10-22,296.0,297.5,290.5,290.5,380384
2025-10-23,297.0,314.0,297.0,299.5,3180604
2025-10-27,307.5,324.0,301.5,320.0,2956775
2025-10-28,321.5,327.5,314.0,327.5,1922775
