datetime,open,high,low,close,volume
2025-08-04,12050.0,12250.0,11920.0,12010.0,936659
2025-08-05,12260.0,12680.0,11910.0,11960.0,1150454
2025-08-06,11830.0,11860.0,11610.0,11760.0,383167
2025-08-07,12280.0,12300.0,11800.0,11850.0,965727
2025-08-08,11960.0,12410.0,11930.0,12140.0,1107685
2025-08-11,12340.0,12360.0,12110.0,12230.0,527886
2025-08-12,12200.0,12450.0,12030.0,12070.0,500600
2025-08-13,12300.0,12640.0,12210.0,12570.0,1015085
2025-08-14,12500.0,12500.0,12280.0,12370.0,411627
2025-08-18,12250.0,12290.0,12050.0,12190.0,417861
2025-08-19,12210.0,12250.0,11850.0,11950.0,320172
2025-08-20,11620.0,11780.0,11410.0,11580.0,429963
2025-08-21,11910.0,11950.0,11580.0,11670.0,338590
2025-08-22,11760.0,11880.0,11540.0,11660.0,298178
2025-08-25,11890.0,11980.0,11780.0,11930.0,308140
2025-08-26,11890.0,12220.0,11720.0,12110.0,430991
2025-08-27,12250.0,12800.0,12020.0,12770.0,1449416
2025-08-28,12630.0,14260.0,12570.0,13830.0,6544513
2025-08-29,13880.0,13970.0,13750.0,13950.0,1155079
2025-09-01,13450.0,13790.0,13230.0,13660.0,1045108
2025-09-02,13740.0,13760.0,13330.0,13590.0,626336
2025-09-03,13530.0,13620.0,13330.0,13610.0,504713
2025-09-04,13550.0,14120.0,13370.0,13560.0,772471
2025-09-05,14100.0,14120.0,13610.0,13980.0,1394878
2025-09-08,14030.0,14090.0,13800.0,14020.0,600733
2025-09-09,14510.0,15870.0,14290.0,15760.0,5674712
2025-09-10,16000.0,17000.0,15840.0,16900.0,4400479
2025-09-11,17610.0,17640.0,16690.0,17110.0,2486417
2025-09-12,17420.0,18220.0,17270.0,17730.0,3295807
2025-09-15,18450.0,18880.0,18210.0,18530.0,2124060
2025-09-16,18350.0,18940.0,18240.0,18810.0,1362137
2025-09-17,18010.0,18970.0,17770.0,18690.0,1314881
2025-09-18,18990.0,20500.0,18440.0,20100.0,2575748
2025-09-22,19820.0,20550.0,19640.0,20250.0,1201811
2025-09-23,21100.0,21800.0,20050.0,20400.0,1968697
2025-09-24,19900.0,21400.0,19880.0,21300.0,1376268
2025-09-25,20850.0,22450.0,20550.0,21450.0,1756030
2025-09-26,21100.0,22500.0,20950.0,21850.0,1983213
2025-09-29,22500.0,23150.0,21950.0,22850.0,1405815
2025-09-30,23350.0,23500.0,22000.0,22150.0,1131250
2025-10-01,22650.0,24250.0,22500.0,24050.0,1714764
2025-10-02,25500.0,25650.0,24150.0,24750.0,2411421
2025-10-10,25600.0,25800.0,23900.0,24350.0,1939509
2025-10-13,23400.0,28350.0,23300.0,27750.0,3945110
2025-10-14,28300.0,28300.0,25150.0,26000.0,3893088
2025-10-15,26250.0,26950.0,25800.0,26500.0,1512854
2025-10-16,26150.0,26550.0,25700.0,25950.0,1423585
2025-10-17,25400.0,27250.0,25350.0,25950.0,1835107
2025-10-20,26850.0,27100.0,25300.0,25950.0,1558976
2025-10-21,26550.0,27200.0,25650.0,25950.0,1381429
2025-10-22,26000.0,26000.0,24600.0,25800.0,1678850
2025-10-23,25000.0,25950.0,24750.0,25900.0,1261401
2025-10-24,27400.0,27450.0,25950.0,26800.0,2253915
2025-10-27,27050.0,27050.0,25350.0,25600.0,1929525
2025-10-28,25100.0,26300.0,25100.0,25850.0,1121095
2025-10-29,26250.0,27650.0,25500.0,27600.0,2405162
2025-10-30,27150.0,31100.0,26850.0,30800.0,6013265
2025-10-31,29800.0,30100.0,29200.0,29400.0,1731213
2025-11-03,29050.0,29950.0,28200.0,29450.0,1807268
2025-11-04,30200.0,30200.0,28750.0,29100.0,1478149
2025-11-05,27950.0,28650.0,25900.0,27950.0,4078310
2025-11-06,28750.0,28850.0,26450.0,27900.0,2644104
2025-11-07,26950.0,29050.0,26900.0,27600.0,3230754
2025-11-10,27550.0,27600.0,23650.0,24350.0,6812906
2025-11-11,24600.0,25875.0,24350.0,24700.0,3616145
2025-11-12,25250.0,26400.0,24450.0,25300.0,2917654
2025-11-13,25550.0,26600.0,24800.0,26000.0,1958915
2025-11-14,24850.0,25250.0,24250.0,24500.0,2140611
2025-11-17,25250.0,26300.0,25150.0,26000.0,2312911
2025-11-18,25400.0,27200.0,25250.0,25900.0,3087794
2025-11-19,25850.0,26000.0,24100.0,25350.0,1759890
2025-11-20,26250.0,26400.0,24300.0,24750.0,2267951
2025-11-21,22750.0,23600.0,22400.0,22600.0,2338648
2025-11-24,23000.0,23700.0,22450.0,23400.0,1264558
2025-11-25,24600.0,25400.0,24200.0,24900.0,2213567
2025-11-26,25450.0,25450.0,23700.0,24100.0,1783944
2025-11-27,24500.0,25850.0,24000.0,25500.0,2459709
2025-11-28,25500.0,25700.0,24950.0,25700.0,1101870
2025-12-01,26050.0,26100.0,25050.0,25300.0,1191719
2025-12-02,25400.0,25800.0,25100.0,25250.0,864612
2025-12-03,25450.0,26500.0,25100.0,25400.0,1386193
2025-12-04,25400.0,25450.0,24050.0,24400.0,1318781
2025-12-05,24400.0,25350.0,24050.0,25300.0,1085032
2025-12-08,25350.0,25350.0,24550.0,25100.0,767442
2025-12-09,24850.0,25350.0,24650.0,24900.0,613848
2025-12-10,25000.0,26150.0,24950.0,25250.0,1696956
2025-12-11,25500.0,25600.0,24450.0,24500.0,1116993
2025-12-12,24500.0,24950.0,23300.0,24650.0,2061516
2025-12-15,23700.0,24250.0,23450.0,24000.0,804713
2025-12-16,23600.0,24050.0,22800.0,22900.0,1021823
2025-12-17,23150.0,24650.0,23100.0,24450.0,1291763
2025-12-18,24000.0,25400.0,23700.0,24350.0,1634521
2025-12-19,24850.0,24850.0,23300.0,23350.0,1412243
2025-12-22,24000.0,25650.0,23950.0,25450.0,2541217
2025-12-23,25700.0,25700.0,24250.0,24500.0,1258423
2025-12-24,24700.0,24700.0,24000.0,24050.0,718802
2025-12-26,24250.0,25500.0,23950.0,25100.0,1880976
2025-12-29,25600.0,25650.0,24650.0,25200.0,1246303
2025-12-30,25000.0,27250.0,24750.0,25750.0,3760979
2026-01-02,25500.0,26700.0,24350.0,26650.0,2224091
2026-01-05,28300.0,28400.0,26850.0,27450.0,2363556
2026-01-06,27050.0,28950.0,26850.0,28900.0,2491885
2026-01-07,29600.0,29600.0,26925.0,27450.0,2307096
2026-01-08,26900.0,28700.0,26850.0,27500.0,1467511
2026-01-09,26850.0,27925.0,26150.0,27000.0,1187323
2026-01-12,27400.0,27450.0,26000.0,26700.0,1091388
2026-01-13,27500.0,28450.0,27000.0,27500.0,1484627
2026-01-14,27900.0,29100.0,27550.0,28850.0,2283991
2026-01-15,28250.0,29300.0,27850.0,28500.0,1322963
2026-01-16,28950.0,29000.0,27700.0,27950.0,1093919
2026-01-19,27150.0,27750.0,26800.0,26950.0,1151901
2026-01-20,26800.0,26850.0,25550.0,26000.0,1106050
2026-01-21,25050.0,26350.0,25000.0,25950.0,960679
2026-01-22,26600.0,26600.0,25200.0,25600.0,1019370
2026-01-23,25650.0,26150.0,25400.0,25850.0,811584
2026-01-26,26200.0,28300.0,25900.0,28250.0,2285799
2026-01-27,28350.0,33500.0,28050.0,33450.0,13238918
2026-01-28,34100.0,36400.0,32500.0,36250.0,5959096
2026-01-29,37850.0,38250.0,33200.0,36750.0,4706866
2026-01-30,36750.0,39500.0,36100.0,37750.0,3312608
2026-02-02,36250.0,38450.0,35600.0,36350.0,2093346
2026-02-03,38100.0,38150.0,35650.0,36950.0,2188247
2026-02-04,36000.0,37450.0,35550.0,36050.0,1481769
2026-02-05,34450.0,35900.0,34050.0,34150.0,1169764
2026-02-06,32500.0,33950.0,31800.0,33150.0,1254668
2026-02-09,35250.0,35350.0,34000.0,35100.0,1081189
2026-02-10,34750.0,35100.0,33500.0,34050.0,691593
2026-02-11,33650.0,34550.0,32800.0,33650.0,790507
2026-02-12,34450.0,35100.0,33100.0,34800.0,1781202
2026-02-13,34800.0,35250.0,33000.0,33100.0,1466056
2026-02-19,33700.0,35850.0,32350.0,34700.0,2518292
2026-02-20,34700.0,35300.0,33550.0,34850.0,1405796
2026-02-23,35100.0,35700.0,33500.0,33850.0,1606960
2026-02-24,33650.0,36200.0,33200.0,35600.0,2532567
2026-02-25,36450.0,36500.0,34350.0,34650.0,1729241
2026-02-26,35550.0,37900.0,35050.0,37150.0,4193515
