關聯欄位,公司名稱,股票代號,原始星等,corr_20d,corr_60d,corr_120d,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
台灣高關聯股,鴻海,2317.TW,4,0.4639198498611964,0.5021182217038976,0.5153995028981669,236,0.496,1.0,樣本充足（>200，具統計意義）,0.258
台灣高關聯股,晟銘電,3013.TW,3,0.2835253452884231,0.5114255203395047,0.4312519121429633,229,0.511,0.9080598099803506,樣本充足（>200，具統計意義）,0.227
全球競爭_同業,Lenovo,0992.HK,3,0.23500291896049408,0.29736358493545073,0.4419582010905747,236,0.487,0.7786366075447676,樣本充足（>200，具統計意義）,0.221
全球競爭_同業,,HPE,4,0.2868175311617108,0.33175546978291404,0.36091072693523574,241,0.527,0.39940314439701297,樣本充足（>200，具統計意義）,0.207
全球競爭_同業,,DELL,5,0.33747194902174676,0.3687822650230635,0.31797558590000685,242,0.525,0.5067676849010725,樣本充足（>200，具統計意義）,0.184
台灣高關聯股,勤誠,8210.TW,4,0.08880369669956831,0.41060085623096876,0.34248844573032244,239,0.485,0.7887076547628169,樣本充足（>200，具統計意義）,0.171
全球競爭_同業,,SMCI,5,0.5230501536767939,0.43430024825898844,0.24727100928185095,240,0.483,0.6189818668340901,樣本充足（>200，具統計意義）,0.124
全球上游_供應,,NVDA,5,0.1369785537379645,0.2946479246346328,0.19626794322071775,242,0.512,0.7595653740307899,樣本充足（>200，具統計意義）,0.111
全球上游_供應,,AMD,4,0.15005584592718768,0.36449388944093936,0.20087835160565057,242,0.45,0.17882893376370257,樣本充足（>200，具統計意義）,0.1
全球合作_需求端,META/GOOGL/AMZN CapEx,MSFT,0,-0.24948334373283132,-0.09113063405354699,-0.03762107017583625,242,0.517,0.6847426682891723,樣本充足（>200，具統計意義）,0.035
全球上游_供應,Memory/Networking//散熱/PSU,PCB,0,0.059373771900065896,0.04591232499934415,-0.018954275624652094,240,0.5,1.0,樣本充足（>200，具統計意義）,0.009
