關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
全球上游_供應,力旺,3529.TW,4,0.4290884948960889,0.2905056251348007,0.3619444567403684,0.42962648330511033,42.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",29.1,36.2,43.0,中度同向連動,262,0.576,0.01753278865295951,樣本充足（>200，具統計意義）,0.349
全球上游_供應,M31,6643.TW,4,0.6245470615590296,0.48613473972789856,0.4399817642709405,0.5191491291279702,62.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",48.6,44.0,51.9,中度同向連動,263,0.479,0.6047564018549906,樣本充足（>200，具統計意義）,0.26
全球上游_供應,,ARM,4,0.686534395507342,0.5865515653348927,0.4085622609007805,0.24636034031264836,68.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",58.7,40.9,24.6,弱同向連動,264,0.587,0.007464610682539221,樣本充足（>200，具統計意義）,0.252
全球上游_供應,,CDNS,4,0.5975968092348675,0.45999019137195235,0.3424846536244479,0.21118416567621517,59.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",46.0,34.2,21.1,弱同向連動,264,0.58,0.012681499287204072,樣本充足（>200，具統計意義）,0.222
台灣高關聯股,京元電,2449.TW,4,0.6051629285747182,0.40195251583635877,0.5278297202924147,0.4356581163130674,60.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",40.2,52.8,43.6,中度同向連動,261,0.483,0.6097080445615448,樣本充足（>200，具統計意義）,0.218
全球合作_需求端,台積電,2330.TW,5,0.09558077893141348,0.10431898857341113,0.4711658767001318,0.41988164528085725,9.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",10.4,47.1,42.0,中度同向連動,249,0.474,0.42486387082674204,樣本充足（>200，具統計意義）,0.21
全球合作_需求端,,AMZN,0,0.5435446002488569,0.35323212160564177,0.22879746709928203,0.1835297928753222,54.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",35.3,22.9,18.4,弱同向連動,264,0.58,0.013689906169047273,樣本充足（>200，具統計意義）,0.206
全球競爭_同業,,MRVL,5,0.31247301288517676,0.2351304043955327,0.31121298446248624,0.11855020355625005,31.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",23.5,31.1,11.9,弱同向連動,263,0.597,0.0031094683352637198,樣本充足（>200，具統計意義）,0.187
全球競爭_同業,,AVGO,5,0.42995424656981235,0.1802425521727619,0.18604758266577728,0.10127334776008541,43.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",18.0,18.6,10.1,弱同向連動,264,0.598,0.0021927348082646995,樣本充足（>200，具統計意義）,0.179
台灣高關聯股,旺矽,6223.TW,4,0.04866089577019837,0.04265254412370776,0.40045523918999826,0.32911342187702947,4.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",4.3,40.0,32.9,弱同向連動,264,0.492,0.8342450061366986,樣本充足（>200，具統計意義）,0.165
全球上游_供應,,SNPS,4,0.5920823203909299,0.15741669527620855,0.23801203893280842,0.21284218976638739,59.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",15.7,23.8,21.3,弱同向連動,264,0.557,0.07966019377732388,樣本充足（>200，具統計意義）,0.163
台灣高關聯股,穎崴,6515.TW,4,-0.5377491941825846,-0.483543713953314,0.19716772235837823,0.2983198434695484,-53.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-48.4,19.7,29.8,弱同向連動,266,0.481,0.5701744421483789,樣本充足（>200，具統計意義）,0.149
全球合作_需求端,台積電,TSM,5,0.516724104878776,0.24480431868176847,0.3700346634022996,0.14656624755375194,51.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",24.5,37.0,14.7,弱同向連動,264,0.564,0.05721403350867276,樣本充足（>200，具統計意義）,0.138
台灣高關聯股,精測,6510.TW,4,0.41956852732516,0.13147336468543633,0.3491109693932289,0.26234423521559813,42.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",13.1,34.9,26.2,弱同向連動,260,0.481,0.6329092538678327,樣本充足（>200，具統計意義）,0.131
全球合作_需求端,,GOOGL,0,0.34085321902417587,0.23812827629201216,0.03066368798953995,0.056706539263468136,34.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",23.8,3.1,5.7,幾乎無關聯,264,0.561,0.0672744117836979,樣本充足（>200，具統計意義）,0.089
全球合作_需求端,,META,0,0.5471602056011035,0.35249701366697717,0.20344453509119662,0.13043662411203658,54.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",35.2,20.3,13.0,弱同向連動,264,0.523,0.5505951647970841,樣本充足（>200，具統計意義）,0.088
全球合作_需求端,,MSFT,0,0.3865346233751663,0.2395915628324629,0.18064527565130015,0.07371405060715484,38.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",24.0,18.1,7.4,幾乎無關聯,264,0.523,0.5333638190894863,樣本充足（>200，具統計意義）,0.06
