關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
全球上游_供應,M31,6643.TW,4,0.884334962737996,0.7024583230143837,0.5362366868725664,0.585916394423465,88.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",70.2,53.6,58.6,中度同向連動,258,0.492,0.8855032029414003,樣本充足（>200，具統計意義）,0.293
台灣高關聯股,京元電,2449.TW,4,0.8609192661072075,0.7473603765384742,0.6333768665360257,0.4602412345965009,86.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",74.7,63.3,46.0,中度同向連動,256,0.473,0.4627483984368316,樣本充足（>200，具統計意義）,0.23
全球上游_供應,,CDNS,4,0.19040764090656828,-0.12750936008579825,0.14465497562436708,0.20669697701230663,19.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-12.8,14.5,20.7,弱同向連動,259,0.583,0.011366014484573153,樣本充足（>200，具統計意義）,0.224
全球合作_需求端,台積電,2330.TW,5,0.5696443732030352,0.43765714747769885,0.3206690985765302,0.3989821665918854,57.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",43.8,32.1,39.9,弱同向連動,246,0.463,0.3045167116408518,樣本充足（>200，具統計意義）,0.199
台灣高關聯股,穎崴,6515.TW,4,0.18020447486676708,0.11608921514744575,0.47324382416437416,0.3594347117091022,18.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",11.6,47.3,35.9,弱同向連動,262,0.511,0.7514755321543571,樣本充足（>200，具統計意義）,0.191
全球上游_供應,力旺,3529.TW,4,0.8649592349987487,0.45604527999733235,0.29146836518238894,0.36279225817868144,86.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",45.6,29.1,36.3,弱同向連動,257,0.506,0.969362358189768,樣本充足（>200，具統計意義）,0.187
全球上游_供應,,ARM,4,0.2191453649929035,0.04826913660721932,0.18638525808487286,0.24400437514758844,21.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",4.8,18.6,24.4,弱同向連動,259,0.556,0.08745968718234494,樣本充足（>200，具統計意義）,0.178
台灣高關聯股,旺矽,6223.TW,4,0.43925450611327754,-0.0026506985159487993,0.4538154668083956,0.32086408395166166,43.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-0.3,45.4,32.1,弱同向連動,259,0.49,0.9041555492227419,樣本充足（>200，具統計意義）,0.16
全球上游_供應,,SNPS,4,0.20710965896559888,-0.1949956088695702,0.12273008474909672,0.18142089202282857,20.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-19.5,12.3,18.1,弱同向連動,259,0.556,0.09763249320566265,樣本充足（>200，具統計意義）,0.147
台灣高關聯股,精測,6510.TW,4,0.754745179893877,0.2724941958718883,0.42639056341964,0.2846589447187539,75.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",27.2,42.6,28.5,弱同向連動,256,0.477,0.5238010011511358,樣本充足（>200，具統計意義）,0.142
全球合作_需求端,台積電,TSM,5,0.10038664351521065,-0.05689071000467671,0.1431659006145107,0.17701466812691946,10.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-5.7,14.3,17.7,弱同向連動,259,0.552,0.10730681139876216,樣本充足（>200，具統計意義）,0.141
全球競爭_同業,,AVGO,5,0.14790983572203698,0.017599536518376705,0.19053875115345184,0.14359995874022463,14.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",1.8,19.1,14.4,弱同向連動,259,0.548,0.1469652533867742,樣本充足（>200，具統計意義）,0.12
全球合作_需求端,,META,0,-0.15297213672585264,-0.051049170699451564,0.13655038686903986,0.09756251476566043,-15.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-5.1,13.7,9.8,幾乎無關聯,259,0.552,0.11420905718554475,樣本充足（>200，具統計意義）,0.101
全球合作_需求端,,MSFT,0,0.10829385269584416,-0.01823168065531587,-0.262891335169668,-0.1137846439727511,10.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-1.8,-26.3,-11.4,弱反向連動,259,0.537,0.2915102659864264,樣本充足（>200，具統計意義）,0.094
全球合作_需求端,,AMZN,0,0.2038294644734897,0.15651543861007713,0.0028561580220834246,0.03417250634929029,20.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",15.7,0.3,3.4,幾乎無關聯,259,0.552,0.1206109779148836,樣本充足（>200，具統計意義）,0.069
全球合作_需求端,,GOOGL,0,-0.03646847254723198,-0.0651866837007892,0.08862107815407085,0.009066613862527955,-3.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-6.5,8.9,0.9,幾乎無關聯,259,0.556,0.08928472288572406,樣本充足（>200，具統計意義）,0.061
全球競爭_同業,,MRVL,5,-0.07642113722091862,-0.04381282379129882,0.13818368814672966,0.04491175626192901,-7.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-4.4,13.8,4.5,幾乎無關聯,258,0.539,0.24284125352909738,樣本充足（>200，具統計意義）,0.061
