關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
全球競爭_同業,MJC,6871.T,4,0.7389137133126323,0.47437035903465824,0.5197047486549095,0.5654942571549786,73.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",47.4,52.0,56.5,中度同向連動,245,0.51,0.7896700334749414,樣本充足（>200，具統計意義）,0.293
全球競爭_同業,JEM,6855.T,3,0.7359177469664532,0.49785184637690794,0.4726456199190401,0.496338337677056,73.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",49.8,47.3,49.6,中度同向連動,245,0.539,0.3220054661285945,樣本充足（>200，具統計意義）,0.287
台灣高關聯股,雍智,6683.TW,3,0.4699304418283054,0.45992083318388893,0.5782911707635557,0.41672309518083395,47.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",46.0,57.8,41.7,中度同向連動,265,0.472,0.425523966542088,樣本充足（>200，具統計意義）,0.208
台灣高關聯股,京元電,2449.TW,4,0.4387727571111529,0.334352798449941,0.5440015267886601,0.3654932632497832,43.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",33.4,54.4,36.5,弱同向連動,261,0.506,1.0,樣本充足（>200，具統計意義）,0.188
台灣高關聯股,中探針,6217.TW,3,0.45464170988689123,0.25857921344732016,0.4364193539016846,0.3563960242956628,45.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",25.9,43.6,35.6,弱同向連動,263,0.487,0.7363986389257924,樣本充足（>200，具統計意義）,0.178
全球競爭_同業,,FORM,5,0.13076772683328855,0.13279371864663056,0.1645371825945404,0.10161375333277915,13.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",13.3,16.5,10.2,弱同向連動,265,0.574,0.030980151214292363,樣本充足（>200，具統計意義）,0.149
全球合作_需求端,,TSM,4,0.14418413573476294,0.24405106529370216,0.14615157410737759,0.10215547755251349,14.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",24.4,14.6,10.2,弱同向連動,265,0.566,0.05352989641495375,樣本充足（>200，具統計意義）,0.117
全球合作_需求端,,AVGO,4,0.3248287214487458,0.4050957456814696,0.22056671368712308,0.1505782448772366,32.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",40.5,22.1,15.1,弱同向連動,265,0.532,0.39481403152027605,樣本充足（>200，具統計意義）,0.107
全球合作_需求端,,NVDA,5,0.1460786329929817,0.02974866950809353,0.17897188098405004,0.13860347631806189,14.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",3.0,17.9,13.9,弱同向連動,265,0.528,0.460049844491738,樣本充足（>200，具統計意義）,0.098
全球競爭_同業,,TPRO.MI,5,0.017537891718756218,0.2648006670636113,0.2351302040759239,0.122486475981202,1.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",26.5,23.5,12.2,弱同向連動,252,0.52,0.7430781158555377,樣本充足（>200，具統計意義）,0.081
