關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
台灣高關聯股,台燿,6274.TW,4,0.4705520742739899,0.3796951043547105,0.6588711517603951,0.6644778193167304,47.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",38.0,65.9,66.4,中度同向連動,255,0.557,0.12171118705728619,樣本充足（>200，具統計意義）,0.389
台灣高關聯股,台光電,2383.TW,5,0.4899849517091139,0.4156586124464864,0.6307856161803541,0.6619251406434566,49.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",41.6,63.1,66.2,中度同向連動,253,0.526,0.6182299843710546,樣本充足（>200，具統計意義）,0.357
全球競爭_同業,ISU Petasys,007660.KS,5,-0.0096897846793477,0.3217361622932481,0.4060882153853455,0.37695556494246946,-1.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",32.2,40.6,37.7,弱同向連動,244,0.586,0.010499209920929379,樣本充足（>200，具統計意義）,0.329
全球競爭_同業,,TTMI,5,-0.6165775293828193,-0.13968676113746636,0.2910002363308405,0.2230998729854221,-61.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-14.0,29.1,22.3,弱同向連動,256,0.586,0.010062086260082488,樣本充足（>200，具統計意義）,0.237
全球合作_需求端,,NVDA,5,-0.4250840297906192,-0.33256170697538,0.1835559363427657,0.16755884823782738,-42.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-33.3,18.4,16.8,弱同向連動,256,0.59,0.006152601412579642,樣本充足（>200，具統計意義）,0.208
全球合作_需求端,,AVGO,5,0.04799110235879536,-0.051819428176955735,0.09614263148957715,0.13678576939587178,4.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-5.2,9.6,13.7,弱同向連動,256,0.59,0.006470978283314847,樣本充足（>200，具統計意義）,0.19
全球競爭_同業,WUS,002463.SZ,5,0.4322410882758442,0.27748164509336226,0.34088382616846763,0.30680195761052315,43.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",27.7,34.1,30.7,弱同向連動,252,0.536,0.3362010103949313,樣本充足（>200，具統計意義）,0.189
全球合作_需求端,,MRVL,4,-0.6410005140250251,-0.35551193171247364,0.16199420106892606,0.09320335611777095,-64.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-35.6,16.2,9.3,幾乎無關聯,255,0.576,0.024964955822565988,樣本充足（>200，具統計意義）,0.148
全球上游_供應,HVLP銅箔 玻纖布,CCL,0,-0.4326301470211152,-0.24261868032104808,-0.020568153013411996,0.0447670208769619,-43.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-24.3,-2.1,4.5,幾乎無關聯,255,0.529,0.3787548061423428,樣本充足（>200，具統計意義）,0.052
