關聯欄位,公司名稱,股票代號,原始星等,corr_20d,corr_60d,corr_120d,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
台灣高關聯股,鴻海,2317.TW,4,0.45806123729624143,0.498744857956081,0.5144632728003127,237,0.494,0.9890260674357301,樣本充足（>200，具統計意義）,0.257
台灣高關聯股,晟銘電,3013.TW,3,0.2963362847768481,0.5118875789804014,0.43400469945901415,230,0.509,0.9604554806444888,樣本充足（>200，具統計意義）,0.226
全球競爭_同業,Lenovo,0992.HK,3,0.2330846004156661,0.2993227373833618,0.44210178549473694,237,0.485,0.7327015867759548,樣本充足（>200，具統計意義）,0.221
全球競爭_同業,,HPE,4,0.2868175311617108,0.33175546978291404,0.36091072693523574,241,0.527,0.39940314439701297,樣本充足（>200，具統計意義）,0.207
全球競爭_同業,,DELL,5,0.337471949021747,0.3687822650230635,0.3179755859000068,242,0.525,0.5067676849010725,樣本充足（>200，具統計意義）,0.184
台灣高關聯股,勤誠,8210.TW,4,0.1466778337742309,0.4130959882514781,0.3465853964241534,240,0.483,0.745725497952519,樣本充足（>200，具統計意義）,0.173
全球競爭_同業,,SMCI,5,0.5230501536767939,0.43430024825898844,0.24727100928185095,240,0.483,0.6189818668340901,樣本充足（>200，具統計意義）,0.124
全球上游_供應,,NVDA,5,0.1369785537379642,0.2946479246346327,0.19626794322071772,242,0.512,0.7595653740307899,樣本充足（>200，具統計意義）,0.111
全球上游_供應,,AMD,4,0.15005584592718768,0.36449388944093936,0.20087835160565057,242,0.45,0.17882893376370257,樣本充足（>200，具統計意義）,0.1
全球合作_需求端,META/GOOGL/AMZN CapEx,MSFT,0,-0.24948334373283132,-0.09113063405354699,-0.03762107017583625,242,0.517,0.6847426682891723,樣本充足（>200，具統計意義）,0.035
