關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
台灣高關聯股,晟銘電,3013.TW,3,0.9491073902674462,0.7586185520615278,0.7239777167471386,0.5116027524411836,94.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",75.9,72.4,51.2,中度同向連動,244,0.484,0.7377303022181579,樣本充足（>200，具統計意義）,0.256
台灣高關聯股,勤誠,8210.TW,4,0.8075295838860587,0.6662255167835409,0.584386154266475,0.48590343886437926,80.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",66.6,58.4,48.6,中度同向連動,254,0.508,0.9156907888273261,樣本充足（>200，具統計意義）,0.251
台灣高關聯股,鴻海,2317.TW,4,0.7121442025569557,0.5078504220511815,0.5341164555164125,0.49430439253412656,71.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",50.8,53.4,49.4,中度同向連動,250,0.5,1.0,樣本充足（>200，具統計意義）,0.247
全球上游_供應,,NVDA,5,-0.47569413280172623,-0.19314612528196878,0.14470483313714927,0.1928815561650844,-47.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-19.3,14.5,19.3,弱同向連動,256,0.582,0.013227966983288084,樣本充足（>200，具統計意義）,0.214
全球競爭_同業,Lenovo,0992.HK,3,0.4136802832595501,0.16232213126915712,0.266363971235436,0.2711540993320324,41.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",16.2,26.6,27.1,弱同向連動,252,0.548,0.1605326224757216,樣本充足（>200，具統計意義）,0.183
全球競爭_同業,,HPE,4,-0.5371911174701666,-0.27598901839005213,0.014691369571369517,0.111599256482272,-53.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-27.6,1.5,11.2,弱同向連動,255,0.588,0.009390351493037888,樣本充足（>200，具統計意義）,0.173
全球上游_供應,,AMD,4,-0.11788411854670058,0.22587074915669825,0.07456570264543093,0.15445083785455557,-11.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",22.6,7.5,15.4,弱同向連動,256,0.566,0.04952089167858251,樣本充足（>200，具統計意義）,0.172
全球競爭_同業,,DELL,5,-0.5424491074892016,-0.2450984944328617,0.04964148697746031,0.23336392490458585,-54.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-24.5,5.0,23.3,弱同向連動,256,0.539,0.2685311651411186,樣本充足（>200，具統計意義）,0.156
全球競爭_同業,,SMCI,5,-0.26136435934193775,-0.06558173513272772,0.08985320249361234,0.1565841687974957,-26.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-6.6,9.0,15.7,弱同向連動,254,0.543,0.18087958423736572,樣本充足（>200，具統計意義）,0.122
全球合作_需求端,META/GOOGL/AMZN CapEx,MSFT,0,-0.3503425538274727,-0.2957279766050236,-0.03427957555353856,0.05474077300447476,-35.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-29.6,-3.4,5.5,幾乎無關聯,256,0.52,0.6165475276307242,樣本充足（>200，具統計意義）,0.047
