關聯欄位,公司名稱,股票代號,原始星等,corr_20d,corr_60d,corr_120d,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
台灣高關聯股,晟銘電,3013.TW,3,0.6711879139763076,0.7038313880529415,0.5039228627411275,242,0.483,0.7433220940528917,樣本充足（>200，具統計意義）,0.252
台灣高關聯股,鴻海,2317.TW,4,0.43976331229966126,0.5230491893082552,0.49396608917947243,249,0.502,1.0,樣本充足（>200，具統計意義）,0.249
台灣高關聯股,勤誠,8210.TW,4,0.6224219353179495,0.5644261230074546,0.47442133015167764,252,0.508,0.918631473519393,樣本充足（>200，具統計意義）,0.245
全球上游_供應,,NVDA,5,-0.1931461252819681,0.14470483313714977,0.19288155616508426,256,0.582,0.013227966983288084,樣本充足（>200，具統計意義）,0.214
全球競爭_同業,Lenovo,0992.HK,3,0.05053834653191196,0.24607467016408063,0.2597707833242577,250,0.548,0.1575101388036069,樣本充足（>200，具統計意義）,0.178
全球競爭_同業,,HPE,4,-0.27598901839005247,0.014691369571369541,0.11159925648227201,255,0.588,0.009390351493037888,樣本充足（>200，具統計意義）,0.173
全球上游_供應,,AMD,4,0.22587074915669803,0.07456570264543094,0.15445083785455554,256,0.566,0.04952089167858251,樣本充足（>200，具統計意義）,0.172
全球競爭_同業,,DELL,5,-0.24509849443286158,0.049641486977460264,0.2333639249045858,256,0.539,0.2685311651411186,樣本充足（>200，具統計意義）,0.156
全球競爭_同業,,SMCI,5,-0.06558173513272766,0.08985320249361216,0.15658416879749565,254,0.543,0.18087958423736572,樣本充足（>200，具統計意義）,0.122
全球上游_供應,Memory/Networking//散熱/PSU,PCB,0,-0.24498000308416515,-0.03310706167137715,-0.10231125170739871,254,0.52,0.6102812457741248,樣本充足（>200，具統計意義）,0.071
全球合作_需求端,META/GOOGL/AMZN CapEx,MSFT,0,-0.2957279766050236,-0.03427957555353856,0.05474077300447476,256,0.52,0.6165475276307242,樣本充足（>200，具統計意義）,0.047
