關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
全球上游_供應,M31,6643.TW,4,0.11687352518621096,0.08777877732090908,0.1610409221881646,0.28202044359070977,11.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",8.8,16.1,28.2,弱同向連動,252,0.528,0.4723149752421042,樣本充足（>200，具統計意義）,0.169
台灣高關聯股,京元電,2449.TW,4,-0.06901362572000277,-0.08733512968889576,0.28651063982362507,0.30581882079866096,-6.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-8.7,28.7,30.6,弱同向連動,250,0.492,1.0,樣本充足（>200，具統計意義）,0.153
台灣高關聯股,精測,6510.TW,4,0.15754856171477763,0.0724046944591584,0.23673278802544365,0.21334651806319646,15.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",7.2,23.7,21.3,弱同向連動,251,0.542,0.23508080909242224,樣本充足（>200，具統計意義）,0.149
全球上游_供應,力旺,3529.TW,4,0.16451541955008198,0.05438250741516576,0.29876964615309826,0.27712719098986527,16.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",5.4,29.9,27.7,弱同向連動,250,0.508,0.9859358294701451,樣本充足（>200，具統計意義）,0.147
台灣高關聯股,穎崴,6515.TW,4,0.08544327243152622,-0.005936755619840588,0.19624266278795718,0.16754314195495376,8.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-0.6,19.6,16.8,弱同向連動,254,0.524,0.3586087053621678,樣本充足（>200，具統計意義）,0.107
全球合作_需求端,,META,0,0.1581383071397327,0.14917715494347444,0.18744113682898542,0.11319594649991392,15.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",14.9,18.7,11.3,弱同向連動,253,0.549,0.12654323686350874,樣本充足（>200，具統計意義）,0.106
全球合作_需求端,台積電,2330.TW,5,0.05490428533569821,-0.012659433186171484,0.19424342350525334,0.19028248112317148,5.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-1.3,19.4,19.0,弱同向連動,243,0.481,0.9183466946894542,樣本充足（>200，具統計意義）,0.095
全球上游_供應,,CDNS,4,-0.3221839037716177,-0.08638228362508006,0.04792292458534393,0.07309369229784743,-32.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-8.6,4.8,7.3,幾乎無關聯,253,0.557,0.119867766686812,樣本充足（>200，具統計意義）,0.094
全球上游_供應,,ARM,4,-0.09442751997418614,-0.0367499471392195,0.18902091831468879,0.09852231804718604,-9.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-3.7,18.9,9.9,幾乎無關聯,253,0.53,0.33188372838054947,樣本充足（>200，具統計意義）,0.079
台灣高關聯股,旺矽,6223.TW,4,-0.3314744228664816,-0.1836192141557316,0.13233211060161604,0.11325045690368557,-33.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-18.4,13.2,11.3,弱同向連動,253,0.514,0.446145736376235,樣本充足（>200，具統計意義）,0.07
全球競爭_同業,,AVGO,5,-0.13842664184945494,-0.058456206127303,0.22469934855551663,0.13330443154496266,-13.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-5.8,22.5,13.3,弱同向連動,253,0.462,0.3482687787800315,樣本充足（>200，具統計意義）,0.067
全球競爭_同業,,MRVL,5,-0.01784467704987352,0.015461596783153989,0.13062979849222126,0.04556879675991701,-1.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",1.5,13.1,4.6,幾乎無關聯,252,0.52,0.403190184191515,樣本充足（>200，具統計意義）,0.043
全球合作_需求端,,AMZN,0,-0.5726140081434224,-0.3731802385639087,-0.07114892222143311,-0.023484373166384607,-57.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-37.3,-7.1,-2.3,幾乎無關聯,253,0.53,0.46088753797918225,樣本充足（>200，具統計意義）,0.041
全球合作_需求端,,MSFT,0,-0.301553336796587,-0.2209397652668421,-0.1242549684437778,-0.03451547465274471,-30.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-22.1,-12.4,-3.5,幾乎無關聯,253,0.518,0.704626109893306,樣本充足（>200，具統計意義）,0.035
全球上游_供應,,SNPS,4,-0.20497226741877528,-0.033021348782249306,0.11131054996334354,0.0650999867307493,-20.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-3.3,11.1,6.5,幾乎無關聯,253,0.498,0.8318779164411092,樣本充足（>200，具統計意義）,0.033
全球合作_需求端,台積電,TSM,5,-0.25035810371941397,-0.16468072740323333,0.08844513495597654,0.03887986627836635,-25.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-16.5,8.8,3.9,幾乎無關聯,253,0.498,0.9107439942119369,樣本充足（>200，具統計意義）,0.019
全球合作_需求端,,GOOGL,0,-0.786187565354574,-0.5487388421442471,-0.053826882328009605,-0.012769254442113317,-78.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-54.9,-5.4,-1.3,幾乎無關聯,253,0.51,0.8124890713052344,樣本充足（>200，具統計意義）,0.016
