關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
台灣高關聯股,凱美,2375.TW,3,0.36100201106518554,0.7269995692738462,0.8301391912474161,0.7900199098849582,36.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",72.7,83.0,79.0,強烈同向連動,254,0.571,0.033193060913413404,樣本充足（>200，具統計意義）,0.559
台灣高關聯股,大毅,2478.TW,4,0.7293750457863071,0.8635110654297735,0.7391777034845336,0.7104016474701584,72.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",86.4,73.9,71.0,強烈同向連動,253,0.581,0.01730307601670959,樣本充足（>200，具統計意義）,0.523
台灣高關聯股,禾伸堂,3026.TW,4,0.7550978919504513,0.8855972609693801,0.6521491944089262,0.6273346560221444,75.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",88.6,65.2,62.7,中度同向連動,244,0.529,0.49666815002679654,樣本充足（>200，具統計意義）,0.342
全球競爭_同業,Murata,6981.T,5,0.6202714585031223,0.6407749054625029,0.6347304431554986,0.616762522051793,62.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",64.1,63.5,61.7,中度同向連動,238,0.513,0.9075919881781029,樣本充足（>200，具統計意義）,0.321
全球上游_供應,勤凱,4760.TW,4,0.6935772258005968,0.6296535459645565,0.7320458325773818,0.5188563536266397,69.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",63.0,73.2,51.9,中度同向連動,254,0.551,0.13797958857973447,樣本充足（>200，具統計意義）,0.311
全球競爭_同業,Taiyo Yuden,6976.T,4,0.5977077900086754,0.5534045605490221,0.586978235133721,0.5566915656828498,59.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",55.3,58.7,55.7,中度同向連動,241,0.498,1.0,樣本充足（>200，具統計意義）,0.278
全球上游_供應,Sakai Chemical,4078.T,4,0.2025853458384505,-0.023346704423301723,0.40069937277673834,0.362096506553574,20.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-2.3,40.1,36.2,弱同向連動,235,0.54,0.30090640893575277,樣本充足（>200，具統計意義）,0.221
全球競爭_同業,,VSH,3,0.36391631187048284,0.16686910098631846,0.1963387916034037,0.26028565468126225,36.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",16.7,19.6,26.0,弱同向連動,254,0.563,0.06673485504870802,樣本充足（>200，具統計意義）,0.193
