日期,目標股,趨勢延續分數,趨勢延續分數_100,趨勢延續標籤,信心,主要貢獻1
2026-09-10,3661.TW,-0.445,-44.5,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 246 天（樣本充足（>200，具統計意義））,穎崴
2026-09-10,3443.TW,-0.346,-34.6,弱偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,力旺
2026-09-10,3035.TW,-0.263,-26.3,弱偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,M31
2026-09-10,8227.TW,-0.261,-26.1,弱偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,M31
2026-09-10,7707.TW,-0.324,-32.4,弱偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 236 天（樣本充足（>200，具統計意義））,力旺
2026-09-10,7796.TW,-0.241,-24.1,弱偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 235 天（樣本充足（>200，具統計意義））,M31
2026-09-10,2454.TW,-0.25,-25.0,弱偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 231 天（樣本充足（>200，具統計意義））,
2026-09-10,2379.TW,-0.366,-36.6,弱偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 236 天（樣本充足（>200，具統計意義））,
2026-09-10,3034.TW,-0.254,-25.4,弱偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,台積電
2026-09-10,8054.TW,-0.457,-45.7,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,穎崴
2026-09-10,6695.TW,-0.224,-22.4,弱偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,
2026-09-10,2388.TW,-0.203,-20.3,弱偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,
2026-09-10,2363.TW,-0.301,-30.1,弱偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,M31
2026-09-10,3041.TW,-0.238,-23.8,弱偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,M31
2026-09-10,8299.TW,-0.621,-62.1,中度偏空延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,創見
2026-09-10,2337.TW,-0.259,-25.9,弱偏空延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 252 天（樣本充足（>200，具統計意義））,Infineon
2026-09-10,2344.TW,-0.315,-31.5,弱偏空延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 254 天（樣本充足（>200，具統計意義））,兆易創新
2026-09-10,6239.TW,-0.524,-52.4,中度偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 102 天（樣本尚可（100–200，具參考意義））,華邦電
2026-09-10,2329.TW,-0.563,-56.3,中度偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 104 天（樣本尚可（100–200，具參考意義））,南亞科
2026-09-10,8110.TW,-0.468,-46.8,中度偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 102 天（樣本尚可（100–200，具參考意義））,華邦電
2026-09-10,8150.TW,-0.596,-59.6,中度偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 105 天（樣本尚可（100–200，具參考意義））,南亞科
2026-09-10,6147.TW,0.436,43.6,中度偏多延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,瑞鼎
2026-09-10,2449.TW,-0.608,-60.8,中度偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 250 天（樣本充足（>200，具統計意義））,世芯
2026-09-10,6257.TW,-0.548,-54.8,中度偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 248 天（樣本充足（>200，具統計意義））,旺矽
2026-09-10,3264.TW,-0.712,-71.2,強烈偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 254 天（樣本充足（>200，具統計意義））,世芯
2026-09-10,6223.TW,-0.728,-72.8,強烈偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,MJC
2026-09-10,6510.TW,-0.821,-82.1,強烈偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,雍智
2026-09-10,6515.TW,-0.603,-60.3,中度偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,
2026-09-10,6488.TW,-0.663,-66.3,中度偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,Siltronic
2026-09-10,5483.TW,-0.691,-69.1,中度偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 233 天（樣本充足（>200，具統計意義））,SUMCO
2026-09-10,3037.TW,-0.323,-32.3,弱偏空延續,納入 7 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,AT&S
2026-09-10,8046.TW,-0.22,-22.0,弱偏空延續,納入 7 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,AT&S
2026-09-10,3189.TW,-0.369,-36.9,弱偏空延續,納入 7 檔關聯股；其中天數樣本最少的一檔為 235 天（樣本充足（>200，具統計意義））,AT&S
2026-09-10,1815.TW,-0.094,-9.4,方向不明/觀望,納入 5 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,建榮
2026-09-10,1802.TW,-0.174,-17.4,弱偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,建榮
2026-09-10,5475.TW,-0.004,-0.4,方向不明/觀望,納入 5 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,建榮
2026-09-10,1446.TW,-0.403,-40.3,中度偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 219 天（樣本充足（>200，具統計意義））,台燿
2026-09-10,8358.TW,0.007,0.7,方向不明/觀望,納入 6 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,台燿
2026-09-10,1303.TW,0.167,16.7,弱偏多延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,三井金屬
2026-09-10,4989.TW,-0.062,-6.2,方向不明/觀望,納入 6 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,台燿
2026-09-10,2383.TW,0.123,12.3,弱偏多延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 252 天（樣本充足（>200，具統計意義））,金像電
2026-09-10,6274.TW,0.039,3.9,方向不明/觀望,納入 6 檔關聯股；其中天數樣本最少的一檔為 253 天（樣本充足（>200，具統計意義））,金居
2026-09-10,6213.TW,0.099,9.9,方向不明/觀望,納入 6 檔關聯股；其中天數樣本最少的一檔為 254 天（樣本充足（>200，具統計意義））,富喬
2026-09-10,2368.TW,-0.675,-67.5,中度偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,台燿
2026-09-10,3044.TW,-0.578,-57.8,中度偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,台燿
2026-09-10,2313.TW,-0.764,-76.4,強烈偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 246 天（樣本充足（>200，具統計意義））,台燿
2026-09-10,2327.TW,-0.807,-80.7,強烈偏空延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 227 天（樣本充足（>200，具統計意義））,凱美
2026-09-10,2492.TW,-0.866,-86.6,強烈偏空延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 230 天（樣本充足（>200，具統計意義））,凱美
2026-09-10,6173.TW,-0.882,-88.2,強烈偏空延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,凱美
2026-09-10,2382.TW,0.45,45.0,中度偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,
2026-09-10,6669.TW,0.556,55.6,中度偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,勤誠
2026-09-10,2376.TW,0.545,54.5,中度偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,鴻海
2026-09-10,2377.TW,0.677,67.7,中度偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 232 天（樣本充足（>200，具統計意義））,鴻海
2026-09-10,2357.TW,0.491,49.1,中度偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 229 天（樣本充足（>200，具統計意義））,Lenovo
2026-09-10,3324.TW,-0.506,-50.6,中度偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 230 天（樣本充足（>200，具統計意義））,建準
2026-09-10,3017.TW,-0.51,-51.0,中度偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,建準
2026-09-10,3653.TW,-0.382,-38.2,弱偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,建準
2026-09-10,3081.TW,-0.021,-2.1,方向不明/觀望,納入 12 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,Sumitomo Electric
2026-09-10,2455.TW,0.024,2.4,方向不明/觀望,納入 12 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,Sumitomo Electric
2026-09-10,4991.TW,-0.067,-6.7,方向不明/觀望,納入 12 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,Sumitomo Electric
2026-09-10,4971.TW,-0.09,-9.0,方向不明/觀望,納入 12 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,Sumitomo Electric
2026-09-10,3105.TW,-0.146,-14.6,弱偏空延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,Mitsubishi Electric
2026-09-10,8086.TW,-0.181,-18.1,弱偏空延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 233 天（樣本充足（>200，具統計意義））,Mitsubishi Electric
2026-09-10,3363.TW,-0.079,-7.9,方向不明/觀望,納入 12 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,
2026-09-10,3163.TW,0.029,2.9,方向不明/觀望,納入 12 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,
2026-09-10,4979.TW,0.008,0.8,方向不明/觀望,納入 12 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,
2026-09-10,3450.TW,-0.115,-11.5,弱偏空延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,Sumitomo Electric
2026-09-10,4977.TW,-0.04,-4.0,方向不明/觀望,納入 12 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,
2026-09-10,6451.TW,0.029,2.9,方向不明/觀望,納入 12 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,
2026-09-10,3711.TW,-0.236,-23.6,弱偏空延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 233 天（樣本充足（>200，具統計意義））,Mitsubishi Electric
2026-09-10,2330.TW,-0.313,-31.3,弱偏空延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 229 天（樣本充足（>200，具統計意義））,Mitsubishi Electric
2026-09-10,3008.TW,0.665,66.5,中度偏多延續,納入 4 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,今國光
2026-09-10,3362.TW,0.566,56.6,中度偏多延續,納入 4 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,今國光
2026-09-10,3406.TW,0.716,71.6,強烈偏多延續,納入 4 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,亞光
2026-09-10,4585.TW,-0.026,-2.6,方向不明/觀望,納入 9 檔關聯股；其中天數樣本最少的一檔為 236 天（樣本充足（>200，具統計意義））,所羅門
2026-09-10,6415.TW,0.181,18.1,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,台達電
2026-09-10,6526.TW,-0.048,-4.8,方向不明/觀望,納入 12 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,聯發科
2026-09-10,3231.TW,-0.558,-55.8,中度偏空延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 100 天（樣本尚可（100–200，具參考意義））,南亞科
2026-09-10,2615.TW,1.0,100.0,強烈偏多延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 234 天（樣本充足（>200，具統計意義））,陽明
2026-09-10,8039.TW,0.108,10.8,弱偏多延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 250 天（樣本充足（>200，具統計意義））,台光電
2026-09-10,2301.TW,-0.146,-14.6,弱偏空延續,納入 2 檔關聯股；其中天數樣本最少的一檔為 220 天（樣本充足（>200，具統計意義））,台達電
2026-09-10,2464.TW,-0.411,-41.1,中度偏空延續,納入 4 檔關聯股；其中天數樣本最少的一檔為 248 天（樣本充足（>200，具統計意義））,廣運
2026-09-10,2059.TW,1.0,100.0,強烈偏多延續,納入 2 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,勤誠
2026-09-10,6214.TW,-0.428,-42.8,中度偏空延續,納入 4 檔關聯股；其中天數樣本最少的一檔為 215 天（樣本充足（>200，具統計意義））,零壹
2026-09-10,2395.TW,1.0,100.0,強烈偏多延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,樺漢
2026-09-10,2474.TW,0.774,77.4,強烈偏多延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 226 天（樣本充足（>200，具統計意義））,晟銘電
2026-09-10,8103.TW,0.297,29.7,弱偏多延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,台達電
2026-09-10,6531.TW,-0.696,-69.6,中度偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 103 天（樣本尚可（100–200，具參考意義））,Samsung Electro-Mechanics
2026-09-10,6770.TW,-0.933,-93.3,強烈偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 103 天（樣本尚可（100–200，具參考意義））,Murata
2026-09-10,2303.TW,-0.773,-77.3,強烈偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 101 天（樣本尚可（100–200，具參考意義））,TDK
2026-09-10,2421.TW,-0.366,-36.6,弱偏空延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,台達電
2026-09-10,4931.TW,-0.413,-41.3,中度偏空延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 246 天（樣本充足（>200，具統計意義））,
2026-09-10,6830.TW,0.604,60.4,中度偏多延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,日月光
2026-09-10,7711.TW,0.361,36.1,弱偏多延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 179 天（樣本尚可（100–200，具參考意義））,華擎
2026-09-10,3234.TW,-0.434,-43.4,中度偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 250 天（樣本充足（>200，具統計意義））,華星光
2026-09-10,6291.TW,-0.349,-34.9,弱偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 254 天（樣本充足（>200，具統計意義））,上詮
2026-09-10,4908.TW,-1.0,-100.0,強烈偏空延續,納入 2 檔關聯股；其中天數樣本最少的一檔為 251 天（樣本充足（>200，具統計意義））,建準
