日期,目標股,趨勢延續分數,趨勢延續分數_100,趨勢延續標籤,信心,主要貢獻1,收盤價,5日均線,20日均線,均線排列,均線濾網,均線濾網註記
2026-09-16,3661.TW,-0.628,-62.8,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 250 天（樣本充足（>200，具統計意義））,穎崴,3355.0,3673.0,3891.0,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,3443.TW,-0.567,-56.7,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,力旺,6035.0,6100.0,5875.75,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,3035.TW,-0.59,-59.0,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,M31,170.0,173.2,175.93,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,8227.TW,-0.519,-51.9,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,M31,249.5,229.0,177.03,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,7707.TW,-0.532,-53.2,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,M31,109.5,115.5,109.58,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,7796.TW,-0.528,-52.8,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,M31,75.0,76.26,64.79,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,2454.TW,-0.561,-56.1,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 235 天（樣本充足（>200，具統計意義））,,4430.0,4551.0,4208.5,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,2379.TW,-0.516,-51.6,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,,703.0,705.4,718.4,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,3034.TW,-0.557,-55.7,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 246 天（樣本充足（>200，具統計意義））,台積電,541.0,544.8,541.0,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,8054.TW,-0.673,-67.3,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,穎崴,80.5,81.84,82.1,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,6695.TW,-0.559,-55.9,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 249 天（樣本充足（>200，具統計意義））,,45.6,46.48,47.9,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,2388.TW,-0.52,-52.0,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 247 天（樣本充足（>200，具統計意義））,,69.4,74.38,74.43,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,2363.TW,-0.566,-56.6,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 249 天（樣本充足（>200，具統計意義））,M31,50.3,51.74,51.3,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,3041.TW,-0.545,-54.5,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,京元電,21.95,22.48,22.7,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,8299.TW,-0.338,-33.8,弱偏空延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,創見,1920.0,2004.0,2063.25,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,2337.TW,1.0,100.0,強烈偏多延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 253 天（樣本充足（>200，具統計意義））,Infineon,114.5,120.0,122.47,空頭排列,訊號未過濾(偏多),分數強烈偏多，但均線還不是多頭排列或尚未站上5日線，暫不列入推薦
2026-09-16,2344.TW,1.0,100.0,強烈偏多延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 255 天（樣本充足（>200，具統計意義））,兆易創新,159.5,170.7,176.62,空頭排列,訊號未過濾(偏多),分數強烈偏多，但均線還不是多頭排列或尚未站上5日線，暫不列入推薦
2026-09-16,6239.TW,-0.333,-33.3,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 106 天（樣本尚可（100–200，具參考意義））,華邦電,268.0,276.2,276.1,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,2329.TW,-0.387,-38.7,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 108 天（樣本尚可（100–200，具參考意義））,南亞科,41.45,41.99,42.99,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,8110.TW,-0.358,-35.8,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 106 天（樣本尚可（100–200，具參考意義））,華邦電,40.5,42.11,44.15,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,8150.TW,-0.346,-34.6,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 109 天（樣本尚可（100–200，具參考意義））,南亞科,84.4,88.04,89.14,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,6147.TW,-0.75,-75.0,強烈偏空延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,瑞鼎,200.0,193.9,181.3,多頭排列,訊號未過濾(偏空),分數強烈偏空，但均線還不是空頭排列或尚未跌破5日線，暫不列入留意名單
2026-09-16,2449.TW,-0.663,-66.3,中度偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 253 天（樣本充足（>200，具統計意義））,世芯,257.0,264.3,256.88,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,6257.TW,-0.645,-64.5,中度偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 252 天（樣本充足（>200，具統計意義））,旺矽,207.5,212.9,208.75,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,3264.TW,-0.731,-73.1,強烈偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 258 天（樣本充足（>200，具統計意義））,世芯,221.0,232.1,223.6,多頭排列,訊號未過濾(偏空),分數強烈偏空，但均線還不是空頭排列或尚未跌破5日線，暫不列入留意名單
2026-09-16,6223.TW,0.088,8.8,方向不明/觀望,納入 10 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,MJC,5440.0,5559.0,5397.25,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,6510.TW,0.13,13.0,弱偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,雍智,3255.0,3468.0,3101.0,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,6515.TW,-0.098,-9.8,方向不明/觀望,納入 10 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,,6310.0,6833.0,6655.75,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,6488.TW,-0.378,-37.8,弱偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,Siltronic,914.0,917.4,954.2,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,5483.TW,-0.285,-28.5,弱偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 235 天（樣本充足（>200，具統計意義））,SUMCO,176.0,177.5,180.12,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-16,3037.TW,-0.136,-13.6,弱偏空延續,納入 7 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,Ibiden,951.0,974.6,1026.15,空頭排列,,非強烈訊號，不套用均線濾網
