關聯欄位,公司名稱,股票代號,原始星等,corr_20d,corr_60d,corr_120d,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
全球競爭_同業,,VRT,4,0.26619888433931627,0.47545716659346576,0.3738382021185673,251,0.574,0.030240998495640384,樣本充足（>200，具統計意義）,0.313
台灣高關聯股,台達電,2308.TW,4,0.23409923424382023,0.4915688000831895,0.4348627700086622,246,0.484,0.6597697196750552,樣本充足（>200，具統計意義）,0.217
台灣高關聯股,光寶科,2301.TW,4,-0.346103992271254,0.3987063647633455,0.40574665832664264,244,0.488,0.777979350989846,樣本充足（>200，具統計意義）,0.203
台灣高關聯股,瀚荃,8103.TW,4,-0.10808246243785496,0.42666604269219655,0.355943779651353,244,0.484,0.7005515714299511,樣本充足（>200，具統計意義）,0.178
全球競爭_同業,,APH,4,0.1645792994761228,0.1608436858248787,0.16351617219855097,251,0.542,0.2716844531552949,樣本充足（>200，具統計意義）,0.124
全球競爭_同業,,TEL,4,0.1036773238617655,0.032572231137049296,0.08416467383370647,251,0.542,0.2716844531552949,樣本充足（>200，具統計意義）,0.084
