日期,目標股,趨勢延續分數,趨勢延續分數_100,趨勢延續標籤,信心,主要貢獻1
2026-09-09,3661.TW,0.379,37.9,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,穎崴
2026-09-09,3443.TW,0.399,39.9,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,力旺
2026-09-09,3035.TW,0.286,28.6,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,M31
2026-09-09,8227.TW,0.39,39.0,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,M31
2026-09-09,7707.TW,0.426,42.6,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 235 天（樣本充足（>200，具統計意義））,力旺
2026-09-09,7796.TW,0.389,38.9,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 234 天（樣本充足（>200，具統計意義））,M31
2026-09-09,2454.TW,0.256,25.6,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 230 天（樣本充足（>200，具統計意義））,
2026-09-09,2379.TW,0.241,24.1,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 235 天（樣本充足（>200，具統計意義））,
2026-09-09,3034.TW,0.282,28.2,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,台積電
2026-09-09,8054.TW,0.331,33.1,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 236 天（樣本充足（>200，具統計意義））,穎崴
2026-09-09,6695.TW,0.217,21.7,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,
2026-09-09,2388.TW,0.291,29.1,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,
2026-09-09,2363.TW,0.274,27.4,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,M31
2026-09-09,3041.TW,0.348,34.8,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,M31
2026-09-09,8299.TW,-0.347,-34.7,弱偏空延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,創見
2026-09-09,2337.TW,0.361,36.1,弱偏多延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 251 天（樣本充足（>200，具統計意義））,Infineon
2026-09-09,2344.TW,0.386,38.6,弱偏多延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 253 天（樣本充足（>200，具統計意義））,兆易創新
2026-09-09,6239.TW,-0.102,-10.2,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 101 天（樣本尚可（100–200，具參考意義））,華邦電
2026-09-09,2329.TW,-0.055,-5.5,方向不明/觀望,納入 10 檔關聯股；其中天數樣本最少的一檔為 103 天（樣本尚可（100–200，具參考意義））,南亞科
2026-09-09,8110.TW,-0.088,-8.8,方向不明/觀望,納入 10 檔關聯股；其中天數樣本最少的一檔為 101 天（樣本尚可（100–200，具參考意義））,華邦電
2026-09-09,8150.TW,-0.104,-10.4,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 104 天（樣本尚可（100–200，具參考意義））,南亞科
2026-09-09,6147.TW,-0.108,-10.8,弱偏空延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,瑞鼎
2026-09-09,2449.TW,0.589,58.9,中度偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 249 天（樣本充足（>200，具統計意義））,世芯
2026-09-09,6257.TW,0.56,56.0,中度偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 247 天（樣本充足（>200，具統計意義））,旺矽
2026-09-09,3264.TW,0.516,51.6,中度偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 253 天（樣本充足（>200，具統計意義））,世芯
2026-09-09,6223.TW,0.018,1.8,方向不明/觀望,納入 10 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,MJC
2026-09-09,6510.TW,0.018,1.8,方向不明/觀望,納入 10 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,雍智
2026-09-09,6515.TW,0.229,22.9,弱偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,
2026-09-09,6488.TW,-0.206,-20.6,弱偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,Siltronic
2026-09-09,5483.TW,-0.164,-16.4,弱偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 232 天（樣本充足（>200，具統計意義））,SUMCO
2026-09-09,3037.TW,-0.122,-12.2,弱偏空延續,納入 7 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,Ibiden
2026-09-09,8046.TW,-0.036,-3.6,方向不明/觀望,納入 7 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,AT&S
2026-09-09,3189.TW,-0.155,-15.5,弱偏空延續,納入 7 檔關聯股；其中天數樣本最少的一檔為 234 天（樣本充足（>200，具統計意義））,AT&S
2026-09-09,1815.TW,-0.075,-7.5,方向不明/觀望,納入 5 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,建榮
2026-09-09,1802.TW,-0.164,-16.4,弱偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,建榮
2026-09-09,5475.TW,-0.012,-1.2,方向不明/觀望,納入 5 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,建榮
2026-09-09,1446.TW,-0.4,-40.0,弱偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 219 天（樣本充足（>200，具統計意義））,台燿
2026-09-09,8358.TW,-0.365,-36.5,弱偏空延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,台燿
2026-09-09,1303.TW,-0.215,-21.5,弱偏空延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,三井金屬
2026-09-09,4989.TW,-0.433,-43.3,中度偏空延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,台燿
2026-09-09,2383.TW,0.164,16.4,弱偏多延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 251 天（樣本充足（>200，具統計意義））,金像電
