日期,目標股,趨勢延續分數,趨勢延續分數_100,趨勢延續標籤,信心,主要貢獻1
2026-09-08,3044.TW,0.278,27.8,弱偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,台燿
2026-09-08,2313.TW,0.208,20.8,弱偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,台燿
2026-09-08,2327.TW,-0.681,-68.1,中度偏空延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 226 天（樣本充足（>200，具統計意義））,凱美
2026-09-08,2492.TW,-0.752,-75.2,強烈偏空延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 229 天（樣本充足（>200，具統計意義））,凱美
2026-09-08,6173.TW,-0.735,-73.5,強烈偏空延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 236 天（樣本充足（>200，具統計意義））,凱美
2026-09-08,2382.TW,-0.251,-25.1,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,
2026-09-08,6669.TW,-0.271,-27.1,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,晟銘電
2026-09-08,2376.TW,-0.249,-24.9,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,鴻海
2026-09-08,2377.TW,-0.372,-37.2,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 231 天（樣本充足（>200，具統計意義））,鴻海
2026-09-08,2357.TW,-0.385,-38.5,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 228 天（樣本充足（>200，具統計意義））,Lenovo
2026-09-08,3324.TW,-0.029,-2.9,方向不明/觀望,納入 9 檔關聯股；其中天數樣本最少的一檔為 229 天（樣本充足（>200，具統計意義））,建準
2026-09-08,3017.TW,0.078,7.8,方向不明/觀望,納入 9 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,建準
2026-09-08,3653.TW,-0.081,-8.1,方向不明/觀望,納入 9 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,建準
2026-09-08,3081.TW,0.311,31.1,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,Sumitomo Electric
2026-09-08,2455.TW,0.252,25.2,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,Sumitomo Electric
2026-09-08,4991.TW,0.255,25.5,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,Sumitomo Electric
