關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
台灣高關聯股,零壹,3029.TW,3,0.5733804979348098,0.24916516520855317,0.4319364607234529,0.5229690352503708,57.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",24.9,43.2,52.3,中度同向連動,214,0.491,0.9457317749198146,樣本充足（>200，具統計意義）,0.261
全球競爭_同業,,IBM,3,0.4719027308293203,-0.03173371813111684,-0.07412064953251407,0.16123339675743437,47.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-3.2,-7.4,16.1,弱同向連動,236,0.581,0.020791998720726252,樣本充足（>200，具統計意義）,0.193
台灣高關聯股,邁達特,6112.TW,3,0.46427084489152215,0.21438821861471033,0.2156811827580667,0.37368964410826366,46.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",21.4,21.6,37.4,弱同向連動,234,0.453,0.20693308198203386,樣本充足（>200，具統計意義）,0.187
全球競爭_同業,,ACN,3,-0.09731425344338436,-0.22358301019365345,-0.07503485644972112,-0.0009422534672396545,-9.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-22.4,-7.5,-0.1,幾乎無關聯,235,0.532,0.3951279522679273,樣本充足（>200，具統計意義）,0.032
