關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
台灣高關聯股,台燿,6274.TW,4,0.4483680532849947,0.6051167398483476,0.7118216488033422,0.6878915501122738,44.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",60.5,71.2,68.8,中度同向連動,255,0.502,0.9964299373259002,樣本充足（>200，具統計意義）,0.346
台灣高關聯股,台光電,2383.TW,5,0.6452515428666618,0.7414185648717979,0.6941967103906886,0.6296831011381445,64.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",74.1,69.4,63.0,中度同向連動,255,0.514,0.913218673221451,樣本充足（>200，具統計意義）,0.329
全球競爭_同業,,TTMI,5,-0.1392052111420672,0.2005310944279506,0.37292380671814074,0.21772235494501807,-13.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",20.1,37.3,21.8,弱同向連動,258,0.605,0.0014103897091160343,樣本充足（>200，具統計意義）,0.256
全球競爭_同業,ISU Petasys,007660.KS,5,0.2747792748224128,0.5435203997430322,0.45653225347926535,0.4545617199798188,27.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",54.4,45.7,45.5,中度同向連動,245,0.502,1.0,樣本充足（>200，具統計意義）,0.229
全球合作_需求端,,MRVL,4,0.17787017033499378,0.12593972164578066,0.37127726038026726,0.20944525364983255,17.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",12.6,37.1,20.9,弱同向連動,257,0.584,0.012725098532097107,樣本充足（>200，具統計意義）,0.226
全球合作_需求端,,NVDA,5,-0.26683415370963126,-0.05186314532120731,0.28096909967334877,0.2154595709285039,-26.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-5.2,28.1,21.5,弱同向連動,258,0.562,0.06780194150478801,樣本充足（>200，具統計意義）,0.17
全球競爭_同業,WUS,002463.SZ,5,0.19458853779503563,0.08613775519241942,0.26803211251418696,0.30911576357295134,19.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",8.6,26.8,30.9,弱同向連動,254,0.512,0.8319342975177033,樣本充足（>200，具統計意義）,0.166
全球合作_需求端,,AVGO,5,0.17048771374061633,0.0857711402428758,0.20707953471348886,0.19333962452256384,17.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",8.6,20.7,19.3,弱同向連動,258,0.535,0.34616499470924955,樣本充足（>200，具統計意義）,0.132
全球上游_供應,HVLP銅箔 玻纖布,CCL,0,0.020589036130137812,-0.2006910477622356,-0.013346231305682207,0.09063254765121959,2.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-20.1,-1.3,9.1,幾乎無關聯,257,0.506,0.8808778195339491,樣本充足（>200，具統計意義）,0.051
