日期,目標股,趨勢延續分數,信心,主要貢獻1
2026-09-05,3661.TW,0.522,納入 17 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,穎崴
2026-09-05,3443.TW,0.524,納入 17 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,力旺
2026-09-05,2449.TW,0.621,納入 9 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,台積電
2026-09-05,8299.TW,0.689,納入 8 檔關聯股；其中天數樣本最少的一檔為 236 天（樣本充足（>200，具統計意義））,創見
2026-09-05,6669.TW,0.757,納入 10 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,晟銘電
2026-09-05,2421.TW,0.904,納入 6 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,台達電
2026-09-05,3374.TW,0.556,納入 9 檔關聯股；其中天數樣本最少的一檔為 231 天（樣本充足（>200，具統計意義））,南亞科
2026-09-05,1815.TW,1.0,納入 5 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,建榮
2026-09-05,3003.TW,0.757,納入 6 檔關聯股；其中天數樣本最少的一檔為 234 天（樣本充足（>200，具統計意義））,台達電
2026-09-05,4931.TW,0.849,納入 6 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,
2026-09-05,2377.TW,0.705,納入 10 檔關聯股；其中天數樣本最少的一檔為 229 天（樣本充足（>200，具統計意義））,鴻海
2026-09-05,4908.TW,1.0,納入 2 檔關聯股；其中天數樣本最少的一檔為 248 天（樣本充足（>200，具統計意義））,建準
2026-09-05,8103.TW,0.872,納入 5 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,台達電
2026-09-05,5284.TW,1.0,納入 9 檔關聯股；其中天數樣本最少的一檔為 234 天（樣本充足（>200，具統計意義））,
2026-09-05,6830.TW,-0.177,納入 3 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,日月光
2026-09-05,7711.TW,0.845,納入 6 檔關聯股；其中天數樣本最少的一檔為 176 天（樣本尚可（100–200，具參考意義））,華擎
2026-09-05,3234.TW,1.0,納入 5 檔關聯股；其中天數樣本最少的一檔為 248 天（樣本充足（>200，具統計意義））,華星光
2026-09-05,6291.TW,0.489,納入 5 檔關聯股；其中天數樣本最少的一檔為 251 天（樣本充足（>200，具統計意義））,上詮
2026-09-05,2408.TW,1.0,納入 3 檔關聯股；其中天數樣本最少的一檔為 247 天（樣本充足（>200，具統計意義））,DuPont
