日期,目標股,趨勢延續分數,趨勢延續分數_100,趨勢延續標籤,信心,主要貢獻1,收盤價,5日均線,20日均線,均線排列,均線濾網,均線濾網註記
2026-09-22,3661.TW,0.473,47.3,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 254 天（樣本充足（>200，具統計意義））,穎崴,3665.0,3477.0,3826.25,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-22,3443.TW,0.637,63.7,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 249 天（樣本充足（>200，具統計意義））,力旺,7615.0,6777.0,6197.0,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-22,3035.TW,0.544,54.4,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 246 天（樣本充足（>200，具統計意義））,M31,191.0,184.4,179.22,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-22,8227.TW,0.638,63.8,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 247 天（樣本充足（>200，具統計意義））,M31,287.5,275.3,207.55,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-22,7707.TW,0.584,58.4,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,M31,129.5,116.1,112.85,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-22,7796.TW,0.475,47.5,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,M31,68.5,70.72,66.49,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-22,2454.TW,0.614,61.4,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,,4710.0,4576.0,4376.0,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-22,2379.TW,0.795,79.5,強烈偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,,740.0,724.8,719.55,多頭排列,推薦買進,分數強烈偏多，均線也是多頭排列且站上5日線，兩者一致
2026-09-22,3034.TW,0.683,68.3,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 250 天（樣本充足（>200，具統計意義））,台積電,548.0,548.8,543.8,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-22,8054.TW,0.422,42.2,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,穎崴,84.9,83.84,83.03,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-22,6695.TW,0.655,65.5,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 253 天（樣本充足（>200，具統計意義））,,50.5,49.75,48.48,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-22,2388.TW,0.675,67.5,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 251 天（樣本充足（>200，具統計意義））,,69.7,70.88,73.99,空頭排列,,非強烈訊號，不套用均線濾網
