關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
台灣高關聯股,廣運,6125.TW,3,0.7927463736190152,0.1365222572521537,0.5225613127453101,0.535318560360671,79.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",13.7,52.3,53.5,中度同向連動,255,0.533,0.36756764386082896,樣本充足（>200，具統計意義）,0.301
台灣高關聯股,所羅門,2359.TW,3,-0.07945972885481414,-0.16510081808196825,0.2279080412026855,0.3936601700734728,-7.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-16.5,22.8,39.4,弱同向連動,249,0.478,0.5566565713487928,樣本充足（>200，具統計意義）,0.197
全球競爭_同業,Rockwell,ROK,3,0.2874621006593677,0.32739605741099015,0.04644771901573263,-0.02425137301605712,28.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",32.7,4.6,-2.4,幾乎無關聯,254,0.579,0.01707923425945397,樣本充足（>200，具統計意義）,0.109
全球競爭_同業,Siemens,SIE.DE,3,-0.3606307298701023,-0.1506477379841594,0.13245028347839888,0.06952430465496776,-36.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-15.1,13.2,7.0,幾乎無關聯,255,0.565,0.05080755118937284,樣本充足（>200，具統計意義）,0.099
