關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
台灣高關聯股,華星光,4979.TW,4,0.6730421963595814,0.5439146088850859,0.6791316420469813,0.5868228554780195,67.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",54.4,67.9,58.7,中度同向連動,255,0.506,0.9470421522410988,樣本充足（>200，具統計意義）,0.299
台灣高關聯股,聯亞,3081.TW,5,0.4810406726818835,0.2962202807888075,0.5657038261689383,0.567577934712909,48.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",29.6,56.6,56.8,中度同向連動,254,0.461,0.2616118405304533,樣本充足（>200，具統計意義）,0.284
台灣高關聯股,聯鈞,3450.TW,4,0.2863823675475782,0.16923972084331415,0.5598010642689771,0.5635793264005294,28.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",16.9,56.0,56.4,中度同向連動,252,0.496,0.9919965408443387,樣本充足（>200，具統計意義）,0.282
全球競爭_同業,,COHR,4,0.08867218339695687,0.19153841769961233,0.18314011622501028,0.19138984705102405,8.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",19.2,18.3,19.1,弱同向連動,253,0.569,0.034525669887110914,樣本充足（>200，具統計意義）,0.198
全球競爭_同業,,LITE,4,-0.044141634909150816,0.0790111724301056,0.11144461732848145,0.08245044079396782,-4.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",7.9,11.1,8.2,幾乎無關聯,251,0.586,0.008171708540707343,樣本充足（>200，具統計意義）,0.152
