關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
全球競爭_同業,Ibiden,4062.T,5,0.19413672511063795,0.2970602889900473,0.5611047054748468,0.5923053665538758,19.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",29.7,56.1,59.2,中度同向連動,243,0.564,0.09068872778375296,樣本充足（>200，具統計意義）,0.36
全球競爭_同業,AT&S,ATS.VI,4,0.17989985486636373,0.03070631524686265,0.38227973313547814,0.3369502047544988,18.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",3.1,38.2,33.7,弱同向連動,246,0.626,0.00026590826519315815,樣本充足（>200，具統計意義）,0.353
全球競爭_同業,SEMCO,009150.KS,5,0.015922548194069127,0.0420669569834369,0.4377019277346486,0.46990354826463004,1.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",4.2,43.8,47.0,中度同向連動,243,0.56,0.12042906486440695,樣本充足（>200，具統計意義）,0.295
全球合作_需求端,,AMD,4,0.3008468618350115,0.10697416442328374,0.3742160613962279,0.2453094375194341,30.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",10.7,37.4,24.5,弱同向連動,257,0.623,0.00018833856398293018,樣本充足（>200，具統計意義）,0.294
全球上游_供應,Ajinomoto ABF膜,2802.T,5,0.20355429394451519,0.252968174947048,0.3605999765096357,0.4057538121417003,20.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",25.3,36.1,40.6,中度同向連動,241,0.539,0.2197592839869829,樣本充足（>200，具統計意義）,0.242
全球合作_需求端,,AVGO,4,0.240523490428721,0.04367402895589479,0.27657635682936405,0.17081292994935654,24.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",4.4,27.7,17.1,弱同向連動,257,0.588,0.008908034097300383,樣本充足（>200，具統計意義）,0.208
全球合作_需求端,,NVDA,5,-0.23388308048344786,0.062466187899976044,0.2896204350623136,0.14031512678470198,-23.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",6.2,29.0,14.0,弱同向連動,257,0.591,0.005816721370909705,樣本充足（>200，具統計意義）,0.194
