關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
台灣高關聯股,今國光,6209.TW,3,0.6801455549630366,0.5808026426204579,0.6677442216522746,0.5979645728178078,68.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",58.1,66.8,59.8,中度同向連動,254,0.461,0.28488354663685655,樣本充足（>200，具統計意義）,0.299
台灣高關聯股,亞光,3019.TW,4,0.7075605008270367,0.6300500455304018,0.5180527460255346,0.4329785809967776,70.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",63.0,51.8,43.3,中度同向連動,239,0.498,1.0,樣本充足（>200，具統計意義）,0.216
全球合作_需求端,,AAPL,4,-0.5902083211637131,-0.39594403457852384,-0.2800001092298131,-0.2676062188326079,-59.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-39.6,-28.0,-26.8,弱反向連動,248,0.556,0.08492292677959389,樣本充足（>200，具統計意義）,0.19
全球競爭_同業,舜宇光學,2382.HK,5,0.3822712592207949,0.3507715495184156,0.3304622378942006,0.26005919291441915,38.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",35.1,33.0,26.0,弱同向連動,252,0.54,0.2596436945426767,樣本充足（>200，具統計意義）,0.17
