關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
全球競爭_同業,Sumitomo Electric,5802.T,4,0.09760673244013177,0.24120694020537625,0.34295152079426855,0.39891884767087504,9.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",24.1,34.3,39.9,弱同向連動,241,0.568,0.0477572269241896,樣本充足（>200，具統計意義）,0.322
全球競爭_同業,Mitsubishi Electric,6503.T,3,0.44185628273307365,0.2723895107647714,0.3888110862064849,0.391666454722574,44.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",27.2,38.9,39.2,弱同向連動,243,0.564,0.06622531524890363,樣本充足（>200，具統計意義）,0.26
全球競爭_同業,,COHR,5,-0.26028226309201663,0.007965483335845944,0.15028314221781533,0.10940862052601158,-26.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",0.8,15.0,10.9,弱同向連動,256,0.621,0.00025551613129816625,樣本充足（>200，具統計意義）,0.211
全球競爭_同業,中際旭創,300308.SZ,5,0.0760314216981491,0.25590193547685597,0.2557200553431149,0.319304670291849,7.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",25.6,25.6,31.9,弱同向連動,253,0.542,0.2646957140658217,樣本充足（>200，具統計意義）,0.201
全球合作_需求端,,NVDA,5,-0.15219704536245612,-0.06092524125635097,0.1341486078773943,0.11575916182306896,-15.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-6.1,13.4,11.6,弱同向連動,256,0.602,0.0019265675718672319,樣本充足（>200，具統計意義）,0.191
全球合作_需求端,,MRVL,4,-0.43475958603977577,-0.09390654902516762,0.11664258095128732,0.0905811775186868,-43.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-9.4,11.7,9.1,幾乎無關聯,255,0.612,0.0006862111870988603,樣本充足（>200，具統計意義）,0.188
全球競爭_同業,新易盛,300502.SZ,5,0.002642414907806452,0.12943782017726094,0.21496893231949923,0.2897123278584145,0.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",12.9,21.5,29.0,弱同向連動,253,0.53,0.4320816798161752,樣本充足（>200，具統計意義）,0.175
全球競爭_同業,,AVGO,5,0.06791450850369798,0.14143630099568796,0.20526538734203878,0.20749198445255718,6.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",14.1,20.5,20.7,弱同向連動,256,0.555,0.11012039416326326,樣本充足（>200，具統計意義）,0.158
全球競爭_同業,,LITE,5,-0.3202493402864718,-0.050850927443245764,0.056944679691364145,0.018758006441231496,-32.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-5.1,5.7,1.9,幾乎無關聯,254,0.598,0.0036030826387896844,樣本充足（>200，具統計意義）,0.129
全球合作_需求端,GOOGL/MSFT/META資料中心CapEx,AMZN,0,0.37134515768092746,0.10402771128776563,0.13320497780981336,0.0965311866967083,37.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",10.4,13.3,9.7,幾乎無關聯,256,0.547,0.16829795747326282,樣本充足（>200，具統計意義）,0.095
全球上游_供應,,APD,0,0.5133138056910179,0.12172415295884494,0.010572919359375177,0.07415332775052354,51.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",12.2,1.1,7.4,幾乎無關聯,256,0.5,1.0,樣本充足（>200，具統計意義）,0.037
全球上游_供應,,PD,0,0.5184041005399845,0.26173520373063563,-0.152317843520971,-0.021786347567604024,51.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",26.2,-15.2,-2.2,幾乎無關聯,252,0.452,0.20383126792473918,樣本充足（>200，具統計意義）,0.011
