關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
全球競爭_同業,兆易創新,603986.SS,5,0.5777881620009103,0.5382800663419662,0.39394539350972485,0.40349697419007285,57.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",53.8,39.4,40.3,中度同向連動,253,0.502,1.0,樣本充足（>200，具統計意義）,0.204
全球競爭_同業,Infineon,IFX.DE,4,0.6572663203038136,0.5075851471671731,0.4140192729314812,0.3256923550908133,65.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",50.8,41.4,32.6,弱同向連動,255,0.537,0.3258904446446381,樣本充足（>200，具統計意義）,0.2
全球競爭_同業,,MCHP,3,0.4417398342356254,0.427956753086822,0.33732995419772593,0.2831016429881253,44.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",42.8,33.7,28.3,弱同向連動,255,0.537,0.26684759542030434,樣本充足（>200，具統計意義）,0.179
