日期,目標股,趨勢延續分數,趨勢延續分數_100,趨勢延續標籤,信心,主要貢獻1,收盤價,5日均線,20日均線,均線排列,均線濾網,均線濾網註記
2026-09-17,3661.TW,0.264,26.4,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 251 天（樣本充足（>200，具統計意義））,穎崴,3345.0,3561.0,3876.75,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,3443.TW,0.365,36.5,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 246 天（樣本充足（>200，具統計意義））,力旺,6170.0,6149.0,5919.5,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,3035.TW,0.398,39.8,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,M31,173.5,172.6,175.97,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,8227.TW,0.484,48.4,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,M31,272.0,243.8,183.22,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,7707.TW,0.363,36.3,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,M31,112.5,114.2,110.12,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,7796.TW,0.383,38.3,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,M31,70.1,74.34,65.22,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,2454.TW,0.401,40.1,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 236 天（樣本充足（>200，具統計意義））,,4530.0,4532.0,4242.75,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,2379.TW,0.388,38.8,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,,720.0,708.4,717.5,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,3034.TW,0.439,43.9,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 247 天（樣本充足（>200，具統計意義））,台積電,548.0,545.8,541.7,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,8054.TW,0.225,22.5,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,穎崴,82.0,81.54,82.25,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,6695.TW,0.46,46.0,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 250 天（樣本充足（>200，具統計意義））,,47.9,46.64,47.92,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,2388.TW,0.411,41.1,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 248 天（樣本充足（>200，具統計意義））,,71.3,73.06,74.4,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,2363.TW,0.406,40.6,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 250 天（樣本充足（>200，具統計意義））,M31,52.0,51.62,51.36,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,3041.TW,0.467,46.7,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,京元電,22.3,22.35,22.7,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,8299.TW,0.49,49.0,中度偏多延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,創見,1985.0,1984.0,2064.25,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,2337.TW,0.378,37.8,弱偏多延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 253 天（樣本充足（>200，具統計意義））,Infineon,119.0,118.5,122.47,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,2344.TW,0.397,39.7,弱偏多延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 255 天（樣本充足（>200，具統計意義））,兆易創新,169.0,167.9,176.68,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,6239.TW,0.395,39.5,弱偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 107 天（樣本尚可（100–200，具參考意義））,華邦電,274.5,274.9,276.7,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,2329.TW,0.484,48.4,中度偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 109 天（樣本尚可（100–200，具參考意義））,南亞科,42.55,41.97,42.98,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,8110.TW,0.385,38.5,弱偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 107 天（樣本尚可（100–200，具參考意義））,華邦電,41.9,41.83,44.07,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,8150.TW,0.52,52.0,中度偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 110 天（樣本尚可（100–200，具參考意義））,南亞科,87.1,87.16,89.13,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,6147.TW,0.458,45.8,中度偏多延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 246 天（樣本充足（>200，具統計意義））,瑞鼎,207.5,195.8,183.6,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,2449.TW,0.122,12.2,弱偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 254 天（樣本充足（>200，具統計意義））,世芯,261.5,262.6,258.2,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,6257.TW,0.081,8.1,方向不明/觀望,納入 9 檔關聯股；其中天數樣本最少的一檔為 253 天（樣本充足（>200，具統計意義））,旺矽,210.0,212.3,209.28,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,3264.TW,0.014,1.4,方向不明/觀望,納入 9 檔關聯股；其中天數樣本最少的一檔為 259 天（樣本充足（>200，具統計意義））,世芯,223.0,230.1,224.43,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,6223.TW,1.0,100.0,強烈偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,MJC,5600.0,5556.0,5414.5,多頭排列,推薦買進,分數強烈偏多，均線也是多頭排列且站上5日線，兩者一致
2026-09-17,6510.TW,1.0,100.0,強烈偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,雍智,3230.0,3392.0,3129.5,多頭排列,訊號未過濾(偏多),分數強烈偏多，但均線還不是多頭排列或尚未站上5日線，暫不列入推薦
2026-09-17,6515.TW,1.0,100.0,強烈偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,,6210.0,6619.0,6647.75,空頭排列,訊號未過濾(偏多),分數強烈偏多，但均線還不是多頭排列或尚未站上5日線，暫不列入推薦
2026-09-17,6488.TW,0.33,33.0,弱偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,Siltronic,937.0,913.8,951.9,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,5483.TW,0.481,48.1,中度偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 236 天（樣本充足（>200，具統計意義））,SUMCO,183.5,178.0,180.47,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,3037.TW,0.636,63.6,中度偏多延續,納入 7 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,Ibiden,961.0,968.2,1017.7,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,8046.TW,0.68,68.0,中度偏多延續,納入 7 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,AT&S,1105.0,1081.0,1136.5,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,3189.TW,0.644,64.4,中度偏多延續,納入 7 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,AT&S,820.0,810.6,830.05,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,1815.TW,0.67,67.0,中度偏多延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 246 天（樣本充足（>200，具統計意義））,建榮,118.5,121.4,121.1,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,1802.TW,0.677,67.7,中度偏多延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,建榮,58.5,57.94,59.06,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,5475.TW,0.59,59.0,中度偏多延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,建榮,182.0,178.5,185.03,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,1446.TW,0.576,57.6,中度偏多延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 221 天（樣本充足（>200，具統計意義））,台燿,13.35,13.33,13.48,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,8358.TW,0.353,35.3,弱偏多延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 247 天（樣本充足（>200，具統計意義））,台燿,510.0,503.0,490.1,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,1303.TW,0.166,16.6,弱偏多延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,三井金屬,224.0,229.6,220.62,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,4989.TW,0.381,38.1,弱偏多延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,台燿,61.3,60.3,62.36,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,2383.TW,1.0,100.0,強烈偏多延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 257 天（樣本充足（>200，具統計意義））,金像電,5085.0,5250.0,5467.75,空頭排列,訊號未過濾(偏多),分數強烈偏多，但均線還不是多頭排列或尚未站上5日線，暫不列入推薦
2026-09-17,6274.TW,1.0,100.0,強烈偏多延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 257 天（樣本充足（>200，具統計意義））,金像電,1415.0,1385.0,1424.0,空頭排列,訊號未過濾(偏多),分數強烈偏多，但均線還不是多頭排列或尚未站上5日線，暫不列入推薦
2026-09-17,6213.TW,1.0,100.0,強烈偏多延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 259 天（樣本充足（>200，具統計意義））,富喬,550.0,520.8,528.77,空頭排列,訊號未過濾(偏多),分數強烈偏多，但均線還不是多頭排列或尚未站上5日線，暫不列入推薦
2026-09-17,2368.TW,0.665,66.5,中度偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 246 天（樣本充足（>200，具統計意義））,台燿,992.0,1015.8,1060.65,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,3044.TW,0.662,66.2,中度偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 246 天（樣本充足（>200，具統計意義））,台燿,504.0,503.1,489.8,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,2313.TW,0.629,62.9,中度偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 249 天（樣本充足（>200，具統計意義））,台燿,225.0,222.1,230.62,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-17,2327.TW,0.806,80.6,強烈偏多延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 230 天（樣本充足（>200，具統計意義））,凱美,536.0,541.8,553.25,空頭排列,訊號未過濾(偏多),分數強烈偏多，但均線還不是多頭排列或尚未站上5日線，暫不列入推薦
2026-09-17,2492.TW,0.867,86.7,強烈偏多延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 233 天（樣本充足（>200，具統計意義））,凱美,307.5,306.2,294.52,多頭排列,推薦買進,分數強烈偏多，均線也是多頭排列且站上5日線，兩者一致
2026-09-17,6173.TW,0.874,87.4,強烈偏多延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,大毅,315.0,292.4,252.65,多頭排列,推薦買進,分數強烈偏多，均線也是多頭排列且站上5日線，兩者一致
2026-09-17,2382.TW,0.867,86.7,強烈偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,鴻海,340.5,335.4,334.77,多頭排列,推薦買進,分數強烈偏多，均線也是多頭排列且站上5日線，兩者一致
