日期,目標股,趨勢延續分數,趨勢延續分數_100,趨勢延續標籤,信心,主要貢獻1,收盤價,5日均線,20日均線,均線排列,均線濾網,均線濾網註記
2026-09-15,3661.TW,-0.507,-50.7,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 249 天（樣本充足（>200，具統計意義））,穎崴,3590.0,3806.0,3909.0,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-15,3443.TW,-0.458,-45.8,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,力旺,6400.0,6085.0,5850.75,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-15,3035.TW,-0.415,-41.5,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,M31,172.5,174.7,175.95,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-15,8227.TW,-0.565,-56.5,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,M31,241.0,215.1,172.03,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-15,7707.TW,-0.485,-48.5,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,力旺,114.0,117.7,109.1,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-15,7796.TW,-0.358,-35.8,弱偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,M31,71.3,74.24,64.24,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-15,2454.TW,-0.512,-51.2,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 234 天（樣本充足（>200，具統計意義））,,4560.0,4616.0,4181.25,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-15,2379.TW,-0.442,-44.2,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,,713.0,704.0,718.6,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-15,3034.TW,-0.566,-56.6,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,台積電,556.0,543.0,539.2,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-15,8054.TW,-0.4,-40.0,弱偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,穎崴,82.5,82.7,82.08,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-15,6695.TW,-0.569,-56.9,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 248 天（樣本充足（>200，具統計意義））,,46.0,46.86,48.04,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-15,2388.TW,-0.604,-60.4,中度偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 246 天（樣本充足（>200，具統計意義））,,72.3,75.92,74.58,多頭排列,,非強烈訊號，不套用均線濾網
