關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
台灣高關聯股,金像電,2368.TW,5,0.5953813706477876,0.5435019904839554,0.6465243958463001,0.6238993370529515,59.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",54.4,64.7,62.4,中度同向連動,263,0.536,0.34703006576701956,樣本充足（>200，具統計意義）,0.348
台灣高關聯股,金居,8358.TW,4,0.56838885724543,0.5174104122414079,0.5745916572668952,0.44855059804289216,56.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",51.7,57.5,44.9,中度同向連動,265,0.543,0.26141521184574673,樣本充足（>200，具統計意義）,0.268
全球合作_需求端,,NVDA,4,-0.25478190797751427,-0.5077706599347764,0.13496209432554368,0.18854739130607046,-25.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-50.8,13.5,18.9,弱同向連動,263,0.627,7.862404380054723e-05,樣本充足（>200，具統計意義）,0.266
全球合作_需求端,,MRVL,4,-0.2139638835615443,0.04376083503819124,0.28287783629136215,0.1358241086805457,-21.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",4.4,28.3,13.6,弱同向連動,262,0.599,0.003191080155631464,樣本充足（>200，具統計意義）,0.201
全球合作_需求端,,AVGO,5,-0.055883363834699856,-0.2073921106057508,0.10043052838134202,0.14538440295279934,-5.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-20.7,10.0,14.5,弱同向連動,263,0.593,0.004466837359238462,樣本充足（>200，具統計意義）,0.199
台灣高關聯股,富喬,1815.TW,4,0.5842553798268467,0.3806290475046885,0.5585432467517943,0.36375374362978447,58.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",38.1,55.9,36.4,弱同向連動,264,0.492,0.8458408522871268,樣本充足（>200，具統計意義）,0.182
