關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
全球競爭_同業,,AVGO,5,-0.04072766131511518,0.006225217323353866,0.2580437491688174,0.232840199588764,-4.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",0.6,25.8,23.3,弱同向連動,251,0.598,0.0029927303064126655,樣本充足（>200，具統計意義）,0.257
全球合作_需求端,台積電,TSM,5,-0.2150854577157547,-0.029069189671921607,0.22431625664774424,0.17531237467595975,-21.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-2.9,22.4,17.5,弱同向連動,251,0.606,0.0011598698233810266,樣本充足（>200，具統計意義）,0.232
全球競爭_同業,,MRVL,5,0.09403508441462098,0.15781797585862856,0.26138940560145857,0.1812947728513181,9.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",15.8,26.1,18.1,弱同向連動,250,0.58,0.0151757420578057,樣本充足（>200，具統計意義）,0.205
全球合作_需求端,,MSFT,0,-0.49644769084737583,-0.09391310329564857,-0.3786150075184509,-0.27199663392960904,-49.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-9.4,-37.9,-27.2,弱反向連動,251,0.546,0.1869201201958765,樣本充足（>200，具統計意義）,0.182
全球合作_需求端,,GOOGL,0,-0.6015055305971111,-0.20913552603936425,-0.01817658975337271,-0.04098075503053172,-60.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-20.9,-1.8,-4.1,幾乎無關聯,251,0.578,0.019292893291735072,樣本充足（>200，具統計意義）,0.118
全球合作_需求端,台積電,2330.TW,5,0.08482330342517984,0.08454353441668484,0.23759372363404277,0.16697157865300902,8.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",8.5,23.8,16.7,弱同向連動,237,0.527,0.4845706340923609,樣本充足（>200，具統計意義）,0.111
全球合作_需求端,,AMZN,0,-0.430944984864967,0.08842333623707294,-0.17007111066843877,-0.11226167744811968,-43.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",8.8,-17.0,-11.2,弱反向連動,251,0.546,0.18532900428674054,樣本充足（>200，具統計意義）,0.102
全球上游_供應,力旺,3529.TW,4,0.16047361923091474,0.10632690533285725,0.1073349707285756,0.07577582228779227,16.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",10.6,10.7,7.6,幾乎無關聯,248,0.565,0.057311758751589524,樣本充足（>200，具統計意義）,0.102
台灣高關聯股,京元電,2449.TW,4,0.43962650346648463,0.3495408844628584,0.3442107325103797,0.1418479747404044,44.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",35.0,34.4,14.2,弱同向連動,249,0.53,0.41632295285782694,樣本充足（>200，具統計意義）,0.101
全球上游_供應,,ARM,4,-0.37930816301080766,-0.22950673473770417,0.2400963417731179,0.12288120350213491,-37.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-23.0,24.0,12.3,弱同向連動,251,0.538,0.2814386254689002,樣本充足（>200，具統計意義）,0.099
全球上游_供應,,CDNS,4,-0.3107824060013713,-0.02222016562612286,0.08184402189710425,0.0941417843615647,-31.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-2.2,8.2,9.4,幾乎無關聯,251,0.542,0.23839995627657706,樣本充足（>200，具統計意義）,0.089
台灣高關聯股,穎崴,6515.TW,4,-0.12092233220491348,-0.03729457971248544,0.2415297410532041,0.16369586833826913,-12.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-3.7,24.2,16.4,弱同向連動,251,0.462,0.2836826649608294,樣本充足（>200，具統計意義）,0.082
全球上游_供應,,SNPS,4,-0.19887803070376717,-0.12259324637693501,0.10654536763934747,0.11422576644284552,-19.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-12.3,10.7,11.4,弱同向連動,251,0.522,0.5866588574788058,樣本充足（>200，具統計意義）,0.079
全球合作_需求端,,META,0,0.13828745686092095,0.19805197852288917,0.12725477511181588,0.0655436866369746,13.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",19.8,12.7,6.6,幾乎無關聯,251,0.546,0.18532900428674054,樣本充足（>200，具統計意義）,0.079
全球上游_供應,M31,6643.TW,4,0.07414714335303997,0.19533101959476692,0.1330903407659262,0.10753291995875373,7.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",19.5,13.3,10.8,弱同向連動,249,0.518,0.6539783604886077,樣本充足（>200，具統計意義）,0.072
台灣高關聯股,旺矽,6223.TW,4,0.16339812467995515,-0.0496515780898597,0.13234048823148206,0.11244084497577704,16.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-5.0,13.2,11.2,弱同向連動,249,0.51,0.8213159175564031,樣本充足（>200，具統計意義）,0.066
台灣高關聯股,精測,6510.TW,4,0.3189732437928637,-0.12463964335150597,0.13926824537246763,0.053663803954822356,31.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-12.5,13.9,5.4,幾乎無關聯,246,0.508,0.9001572882387354,樣本充足（>200，具統計意義）,0.035
