關聯欄位,公司名稱,股票代號,原始星等,corr_20d,corr_60d,corr_120d,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
台灣高關聯股,晟銘電,3013.TW,3,0.7557062954327277,0.7127385512397588,0.5070950422417838,243,0.481,0.6899649296813342,樣本充足（>200，具統計意義）,0.254
台灣高關聯股,鴻海,2317.TW,4,0.4784824198175626,0.5233538002245568,0.491957049334872,250,0.5,1.0,樣本充足（>200，具統計意義）,0.246
台灣高關聯股,勤誠,8210.TW,4,0.6409265212552402,0.5804403137006728,0.478466983692622,253,0.506,0.9694254896169973,樣本充足（>200，具統計意義）,0.245
全球上游_供應,,NVDA,5,-0.19314612528196878,0.14470483313714927,0.1928815561650844,256,0.582,0.013227966983288084,樣本充足（>200，具統計意義）,0.214
全球競爭_同業,Lenovo,0992.HK,3,0.07733514097860095,0.24495361725642315,0.2589258139814844,251,0.546,0.1793573571170797,樣本充足（>200，具統計意義）,0.175
全球競爭_同業,,HPE,4,-0.27598901839005213,0.014691369571369517,0.111599256482272,255,0.588,0.009390351493037888,樣本充足（>200，具統計意義）,0.173
全球上游_供應,,AMD,4,0.22587074915669825,0.07456570264543093,0.15445083785455557,256,0.566,0.04952089167858251,樣本充足（>200，具統計意義）,0.172
全球競爭_同業,,DELL,5,-0.2450984944328617,0.04964148697746031,0.23336392490458585,256,0.539,0.2685311651411186,樣本充足（>200，具統計意義）,0.156
全球競爭_同業,,SMCI,5,-0.06558173513272772,0.08985320249361234,0.1565841687974957,254,0.543,0.18087958423736572,樣本充足（>200，具統計意義）,0.122
全球合作_需求端,META/GOOGL/AMZN CapEx,MSFT,0,-0.2957279766050236,-0.03427957555353856,0.05474077300447476,256,0.52,0.6165475276307242,樣本充足（>200，具統計意義）,0.047
