關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
全球合作_需求端,,AMZN,0,0.18631343753406013,0.24551483034206475,0.27490257101257665,0.39250594186450066,18.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",24.6,27.5,39.3,弱同向連動,285,0.512,0.7725571626814562,樣本充足（>200，具統計意義）,0.209
全球合作_需求端,台積電,2330.TW,5,-0.20900890345257006,-0.19429462477175474,0.16251926465520738,0.229636628141101,-20.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-19.4,16.3,23.0,弱同向連動,251,0.53,0.4467410775076339,樣本充足（>200，具統計意義）,0.145
全球合作_需求端,,GOOGL,0,0.03475452794524,0.16569317913822798,0.36914916998026004,0.2764027715857357,3.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",16.6,36.9,27.6,弱同向連動,285,0.488,0.7598126484342932,樣本充足（>200，具統計意義）,0.138
全球上游_供應,,CDNS,4,0.3704161372427246,0.19674850839812394,0.25041198310436535,0.16721712563688487,37.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",19.7,25.0,16.7,弱同向連動,285,0.537,0.25710778567584053,樣本充足（>200，具統計意義）,0.12
全球上游_供應,M31,6643.TW,4,0.15562999534468627,0.08667537640672894,0.1370990560913231,0.10950358819395305,15.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",8.7,13.7,11.0,弱同向連動,264,0.561,0.06060033889933253,樣本充足（>200，具統計意義）,0.115
全球上游_供應,力旺,3529.TW,4,-0.22891825624047277,-0.2439841256858359,-0.05364809788203011,0.029668428003879182,-22.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-24.4,-5.4,3.0,幾乎無關聯,263,0.574,0.02034581499671923,樣本充足（>200，具統計意義）,0.107
全球上游_供應,,SNPS,4,0.3029464610596635,0.04850594825613293,0.25322952968197543,0.186498473716515,30.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",4.9,25.3,18.6,弱同向連動,285,0.509,0.8498528933668046,樣本充足（>200，具統計意義）,0.102
台灣高關聯股,旺矽,6223.TW,4,-0.5228406109802792,-0.40552938405045685,0.12401156040765329,0.18754171721748067,-52.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-40.6,12.4,18.8,弱同向連動,265,0.498,0.9839922704190066,樣本充足（>200，具統計意義）,0.094
全球上游_供應,,ARM,4,0.6052798287093255,0.5103862646522105,0.22635372584899965,0.14230658209042307,60.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",51.0,22.6,14.2,弱同向連動,285,0.519,0.6015644581069739,樣本充足（>200，具統計意義）,0.09
全球合作_需求端,,MSFT,0,0.4201567128786365,0.31926777664882183,-0.019207537531973327,0.15244334551085328,42.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",31.9,-1.9,15.2,弱同向連動,285,0.498,1.0,樣本充足（>200，具統計意義）,0.076
全球競爭_同業,,MRVL,5,0.4112874555362312,0.3099950127881171,0.033516249133255946,0.03798972081668697,41.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",31.0,3.4,3.8,幾乎無關聯,284,0.542,0.19758480957569322,樣本充足（>200，具統計意義）,0.061
台灣高關聯股,精測,6510.TW,4,-0.41518424855724045,-0.36264472423077226,0.14356168771805092,0.11279524173165571,-41.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-36.3,14.4,11.3,弱同向連動,261,0.502,1.0,樣本充足（>200，具統計意義）,0.058
全球合作_需求端,台積電,TSM,5,0.1867918377160698,0.07914723684566273,-0.08215407673348066,0.10028291377849718,18.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",7.9,-8.2,10.0,弱同向連動,285,0.498,1.0,樣本充足（>200，具統計意義）,0.05
台灣高關聯股,京元電,2449.TW,4,-0.19309613478098664,-0.10038712513698138,0.1235436586532345,0.08185977633541582,-19.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-10.0,12.4,8.2,幾乎無關聯,262,0.489,0.7714622868897865,樣本充足（>200，具統計意義）,0.041
全球競爭_同業,,AVGO,5,-0.02645619356264181,-0.19628810063798258,-0.0033306223674377773,0.05373529218687157,-2.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-19.6,-0.3,5.4,幾乎無關聯,285,0.502,1.0,樣本充足（>200，具統計意義）,0.029
台灣高關聯股,穎崴,6515.TW,4,-0.9037030198349982,-0.6689122127393001,-0.015484039461631809,0.05592013801500117,-90.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-66.9,-1.5,5.6,幾乎無關聯,266,0.5,1.0,樣本充足（>200，具統計意義）,0.028
