關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
全球競爭_同業,Murata,6981.T,4,0.3229494619985174,0.3970777038232094,0.5796831195420543,0.5808555570940986,32.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",39.7,58.0,58.1,中度同向連動,241,0.515,0.9838918270175399,樣本充足（>200，具統計意義）,0.305
全球競爭_同業,Samsung Electro-Mechanics,009150.KS,4,0.6834607208315614,0.5589559853163749,0.553581777803106,0.5623832683157295,68.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",55.9,55.4,56.2,中度同向連動,243,0.506,1.0,樣本充足（>200，具統計意義）,0.287
全球競爭_同業,TDK,6762.T,4,0.3514648853696176,0.3835417913950219,0.5185603926333067,0.476428130660014,35.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",38.4,51.9,47.6,中度同向連動,241,0.523,0.6812928705465058,樣本充足（>200，具統計意義）,0.261
全球合作_需求端,,HBM,0,-0.3094485873755019,-0.032520160226463896,0.1564464235721568,0.14655486347225571,-30.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-3.3,15.6,14.7,弱同向連動,250,0.548,0.2669808774543178,樣本充足（>200，具統計意義）,0.121
全球上游_供應,高深寬比深溝槽 堆疊電容製程,DRAM,0,0.43675339832259374,0.3887373836298569,0.34476151684749906,,43.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",38.9,34.5,,無資料,103,0.534,0.6614621912192767,樣本尚可（100–200，具參考意義）,0.034
