date,open,high,low,close,volume
2026-08-28,46012,46580,44146,46357,0
2026-09-01,46484,47268,46200,47201,0
2026-09-02,47278,47519,46043,46165,0
2026-09-03,46188,46512,45646,45819,0
2026-09-04,45951,46817,45415,46709,0
2026-09-07,47280,47572,47093,47329,0
2026-09-08,47480,47593,46561,47055,0
2026-09-09,47076,47592,46747,46984,0
2026-09-10,46940,46950,46015,46072,0
