yfinance_ticker
000660.KS
002463.SZ
005930.KS
007660.KS
009150.KS
034220.KS
067310.KQ
0992.HK
1.6T
108320.KS
1303.TW
1446.TW
1597.TW
1802.TW
1815.TW
2049.TW
2059.TW
2301.TW
2303.TW
2308.TW
2313.TW
2317.TW
2327.TW
2329.TW
2330.TW
2337.TW
2344.TW
2345.TW
2357.TW
2359.TW
2363.TW
2368.TW
2375.TW
2376.TW
2377.TW
2379.TW
2382.HK
2382.TW
2383.TW
2385.TW
2388.TW
2395.TW
2408.TW
2409.TW
2421.TW
2449.TW
2451.TW
2454.TW
2455.TW
2464.TW
2474.TW
2478.TW
2492.TW
2603.TW
2609.TW
2615.TW
2802.T
285A.T
300308.SZ
300502.SZ
3008.TW
3013.TW
3017.TW
3019.TW
3026.TW
3029.TW
3034.TW
3035.TW
3037.TW
3041.TW
3044.TW
3081.TW
3105.TW
3110.T
3163.TW
3189.TW
3231.TW
3234.TW
3260.TW
3264.TW
3324.TW
3362.TW
3363.TW
3406.TW
3436.T
3443.TW
3450.TW
3481.TW
3515.TW
3529.TW
3592.TW
3653.TW
3661.TW
3665.TW
3711.TW
4062.T
4063.T
4078.T
454910.KS
4583.TW
4585.TW
4760.TW
4908.TW
4931.TW
4961.TW
4967.TW
4971.TW
4977.TW
4979.TW
4989.TW
4991.TW
5340.TW
5475.TW
5483.TW
5706.T
5801.T
5802.T
603986.SS
6112.TW
6125.TW
6147.TW
6166.TW
6173.TW
6209.TW
6213.TW
6214.TW
6217.TW
6223.TW
6239.TW
6257.TW
6274.TW
6291.TW
6414.TW
6415.TW
6451.TW
6488.TW
6503.T
6506.T
6510.TW
6515.TW
6526.TW
6531.TW
6594.T
6643.TW
6669.TW
6683.TW
6695.TW
6762.T
6770.TW
6805.TW
6830.TW
6855.T
6871.T
6954.T
6976.T
6981.T
7707.TW
7711.TW
7796.TW
800G
8039.TW
8046.TW
8054.TW
8086.TW
8103.TW
8110.TW
8150.TW
8210.TW
8227.TW
8299.TW
8358.TW
8996.TW
AAPL
ABB
ACN
ACW
ADI
ADLINK
AMD
AMKR
AMZN
APD
APH
ARM
ATS.VI
AVGO
AWS
BBU
CCL
CDNS
CDU
CNC
COHR
CPO
CPU
DD
DELL
DELTA
DRAM
DTC
ETN
FAU
FORM
GFS
GOOGL
HBM
HIMX
HPC
HPE
HVLP
IBM
IET
IFX.DE
INTC
IP
JAE
JCET
LITE
MBE
MCHP
META
MOCVD
MOD
MPWR
MRVL
MSFT
MU
NVDA
PCB
PD
PDK
QCOM
ROK
SCFI
SEMCO
SIE.DE
SIMO
SMCI
SNPS
SSD
TDK
TEL
TPRO.MI
TSM
TTMI
TXN
VRT
VSH
WAF.DE
ZIM
